PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 693_7,HD 693,3.93,0.01,2.298,9.146,18.886,1.18,2.997,0.130534,200.703983,3.9693,0.030519,0,0,1,2035.006849
HD 43386_0,HD 43386,2.541,0.037,0.504,0.057,19.588,1.33,2.957,0.020296,3.914914,2.632038,0.000369,0,0,1,2035.008219
HD 43386_1,HD 43386,1.141,0.101,1.584,3.959,19.588,1.33,2.957,0.059656,159.00591,1.227237,0.180506,0,0,1,2035.008219
HD 43386_2,HD 43386,10.414,0.094,0.511,0.03,19.588,1.33,2.957,0.5085,241.10917,9.960746,0.314855,0,0,1,2035.008219
HD 43386_3,HD 43386,0.289,0.045,1.072,1.015,19.588,1.33,2.957,0.01526,97.177669,0.299964,0.361332,0,0,1,2035.008219
HD 43042_0,HD 43042,4.095,0.078,0.558,0.015,21.776,1.29,2.936,0.168328,63.705679,3.826804,0.187907,0,0,1,2035.009589
HD 43042_1,HD 43042,0.434,0.11,0.533,0.07,21.776,1.29,2.936,0.018049,41.556943,0.442309,0.123068,0,0,1,2035.009589
HD 43042_2,HD 43042,5.437,0.036,1.18,9.362,21.776,1.29,2.936,0.235498,97.531507,5.242541,0.221346,0,0,1,2035.009589
HD 43042_3,HD 43042,0.724,0.14,0.733,0.431,21.776,1.29,2.936,0.01682,152.650803,0.822245,0.905529,0,0,1,2035.009589
HD 210302_0,HD 210302,0.937,0.087,1.293,2.294,18.458,1.25,2.918,0.049588,297.341204,0.964181,0.491368,0,0,1,2035.010959
HD 210302_1,HD 210302,0.316,0.034,0.672,0.191,18.458,1.25,2.918,0.013803,166.374892,0.311116,0.085376,0,0,1,2035.010959
HD 210302_2,HD 210302,0.162,0.125,0.82,0.444,18.458,1.25,2.918,0.008639,8.006772,0.165656,0.194509,0,0,1,2035.010959
HD 210302_3,HD 210302,0.925,0.123,2.909,10.329,18.458,1.25,2.918,0.026997,188.384905,0.989337,0.015175,0,0,1,2035.010959
HD 210302_4,HD 210302,1.629,0.122,1.727,4.219,18.458,1.25,2.918,0.035395,151.915156,1.444721,0.902636,0,0,1,2035.010959
HD 210302_5,HD 210302,8.052,0.063,0.813,1.279,18.458,1.25,2.918,0.425559,22.001194,8.23817,0.182162,0,0,1,2035.010959
HD 187691 A_0,HD 187691 A,3.127,0.076,1.475,1.394,19.488,1.25,2.835,0.148431,221.30594,3.044159,0.178104,0,0,1,2035.012329
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,0.926,19.488,1.25,2.835,0.083131,88.869068,2.620871,0.030024,0,0,1,2035.012329
HD 187691 A_2,HD 187691 A,3.249,0.037,0.764,0.178,19.488,1.25,2.835,0.088864,115.507674,3.366725,0.873813,0,0,1,2035.012329
HD 187691 A_3,HD 187691 A,2.018,0.038,2.654,7.822,19.488,1.25,2.835,0.049615,78.340191,2.089043,0.011551,0,0,1,2035.012329
HD 84737_0,HD 84737,0.596,0.087,1.352,2.893,18.823,1.08,2.795,0.020673,328.945547,0.638233,0.028642,0,0,1,2035.013699
HD 84737_1,HD 84737,3.025,0.071,1.189,0.998,18.823,1.08,2.795,0.097079,239.424919,2.829499,0.798439,0,0,1,2035.013699
HD 84737_2,HD 84737,1.078,0.014,1.079,1.647,18.823,1.08,2.795,0.02866,156.158596,1.073774,0.01505,0,0,1,2035.013699
HD 84737_3,HD 84737,3.774,0.025,0.833,0.26,18.823,1.08,2.795,0.19571,112.915173,3.685956,0.301603,0,0,1,2035.013699
HD 84737_4,HD 84737,0.254,0.074,3.133,17.683,18.823,1.08,2.795,0.012691,172.551171,0.253038,0.17088,0,0,1,2035.013699
HD 84737_5,HD 84737,2.993,0.205,0.508,0.083,18.823,1.08,2.795,0.164028,260.483465,3.103138,0.370032,0,0,1,2035.013699
HD 30652_0,HD 30652,0.357,0.032,0.524,0.2,8.068,1.25,2.71,0.030273,54.148193,0.36785,0.038521,0,0,1,2035.015068
HD 30652_1,HD 30652,3.379,0.099,2.314,6.38,8.068,1.25,2.71,0.313593,194.743517,3.378474,0.059838,0,0,1,2035.015068
HD 30652_2,HD 30652,1.418,0.081,1.563,4.825,8.068,1.25,2.71,0.114995,86.825849,1.439977,0.034657,0,0,1,2035.015068
HD 30652_3,HD 30652,3.27,0.133,2.129,6.922,8.068,1.25,2.71,0.407484,164.101389,3.344234,0.232028,0,0,1,2035.015068
HD 30652_4,HD 30652,2.754,0.119,2.49,7.908,8.068,1.25,2.71,0.301094,287.539419,3.076062,0.073608,0,0,1,2035.015068
HD 212330 A_0,HD 212330 A,1.747,0.031,3.281,5.896,20.34,1.02,2.726,0.081507,213.568442,1.700771,0.214654,0,0,1,2035.016438
HD 212330 A_1,HD 212330 A,8.854,0.122,2.331,6.689,20.34,1.02,2.726,0.35258,1.312931,7.830244,0.545064,0,0,1,2035.016438
HD 212330 A_2,HD 212330 A,5.272,0.048,0.797,0.487,20.34,1.02,2.726,0.257637,7.85858,5.480152,0.185741,0,0,1,2035.016438
HD 17206_0,HD 17206,1.742,0.09,0.885,0.759,14.276,1.21,2.617,0.119116,280.82038,1.78974,0.177999,0,0,1,2035.017808
HD 17206_1,HD 17206,0.879,0.039,2.253,4.165,14.276,1.21,2.617,0.032803,338.366579,0.913245,0.016086,0,0,1,2035.017808
HD 17206_2,HD 17206,0.485,0.035,0.762,0.074,14.276,1.21,2.617,0.015386,258.449443,0.471372,0.011805,0,0,1,2035.017808
HD 17206_3,HD 17206,8.419,0.043,0.548,0.117,14.276,1.21,2.617,0.368653,189.352233,8.355925,0.032028,0,0,1,2035.017808
HD 17206_4,HD 17206,5.634,0.055,0.719,0.215,14.276,1.21,2.617,0.296424,204.87928,5.326194,0.075421,0,0,1,2035.017808
HD 23249_0,HD 23249,2.38,0.039,0.804,0.126,9.089,0.87,2.941,0.196392,286.19437,2.45485,0.740044,0,0,1,2035.019178
HD 23249_1,HD 23249,2.348,0.031,1.487,4.098,9.089,0.87,2.941,0.163939,251.487235,2.317658,0.034396,0,0,1,2035.019178
HD 58855_0,HD 58855,3.917,0.055,2.746,11.748,20.402,1.16,2.445,0.121132,121.905087,4.068461,0.82265,1,1,1,2035.020548
HD 58855_1,HD 58855,7.369,0.056,1.137,0.522,20.402,1.16,2.445,0.172908,297.03342,7.026717,0.879861,0,0,1,2035.020548
HD 58855_2,HD 58855,8.294,0.095,0.731,0.491,20.402,1.16,2.445,0.366405,236.672955,7.62373,0.422616,0,0,1,2035.020548
HD 58855_3,HD 58855,0.12,0.023,0.846,0.368,20.402,1.16,2.445,0.004647,281.743222,0.121627,0.069872,0,0,1,2035.020548
HD 58855_4,HD 58855,1.787,0.062,0.53,0.221,20.402,1.16,2.445,0.018778,231.772277,1.819824,0.978598,0,0,1,2035.020548
HD 58855_5,HD 58855,2.753,0.078,0.74,0.063,20.402,1.16,2.445,0.07677,267.452222,2.924407,0.863034,0,0,1,2035.020548
HD 58855_6,HD 58855,3.408,0.008,0.67,0.134,20.402,1.16,2.445,0.114021,154.253604,3.414425,0.04222,0,0,1,2035.020548
HD 58855_7,HD 58855,0.511,0.017,1.169,0.53,20.402,1.16,2.445,0.014864,121.558221,0.508396,0.026583,0,0,1,2035.020548
HD 58855_8,HD 58855,3.679,0.02,1.665,2.798,20.402,1.16,2.445,0.128181,331.198363,3.705697,0.047954,0,0,1,2035.020548
HD 69897_0,HD 69897,7.063,0.106,0.747,0.17,18.223,1.25,2.425,0.135695,196.335996,6.334174,0.006735,0,0,1,2035.021918
HD 69897_1,HD 69897,8.292,0.033,3.344,18.967,18.223,1.25,2.425,0.44167,253.038689,8.215896,0.425151,0,0,1,2035.021918
HD 38393_0,HD 38393,0.205,0.072,1.088,0.468,8.905,1.23,2.344,0.015694,348.560246,0.190894,0.736131,0,0,1,2035.023288
HD 38393_1,HD 38393,3.39,0.099,0.656,0.55,8.905,1.23,2.344,0.390702,23.151839,3.695606,0.167995,0,0,1,2035.023288
HD 38393_2,HD 38393,10.191,0.041,2.087,7.94,8.905,1.23,2.344,1.051661,296.101376,9.912112,0.171738,0,0,1,2035.023288
HD 38393_3,HD 38393,0.355,0.086,1.549,2.515,8.905,1.23,2.344,0.028745,237.701542,0.341321,0.721662,0,0,1,2035.023288
HD 38393_4,HD 38393,4.373,0.052,1.208,0.678,8.905,1.23,2.344,0.334864,67.227811,4.168144,0.05042,0,0,1,2035.023288
HD 16895 A_0,HD 16895 A,3.595,0.047,2.816,9.019,11.15,1.21,2.246,0.293061,121.234204,3.745178,0.112811,0,0,1,2035.024658
HD 16895 A_1,HD 16895 A,8.462,0.098,0.995,1.028,11.15,1.21,2.246,0.350645,315.508461,9.262484,0.008614,0,0,1,2035.024658
HD 16895 A_2,HD 16895 A,6.016,0.071,0.77,0.941,11.15,1.21,2.246,0.568673,6.945673,6.438845,0.23617,0,0,1,2035.024658
HD 16895 A_3,HD 16895 A,10.066,0.138,1.075,0.416,11.15,1.21,2.246,0.795903,144.436674,8.952869,0.387183,0,0,1,2035.024658
HD 16895 A_4,HD 16895 A,4.424,0.091,1.274,1.42,11.15,1.21,2.246,0.287211,175.55755,4.198933,0.06418,0,0,1,2035.024658
HD 16895 A_5,HD 16895 A,1.554,0.05,3.144,7.562,11.15,1.21,2.246,0.098757,260.26526,1.525424,0.05212,0,0,1,2035.024658
HD 16895 A_6,HD 16895 A,0.108,0.029,0.508,0.05,11.15,1.21,2.246,0.006738,252.743121,0.105554,0.751918,0,0,1,2035.024658
HD 16895 A_7,HD 16895 A,9.063,0.045,0.914,0.954,11.15,1.21,2.246,0.510452,204.169951,8.928471,0.033392,0,0,1,2035.024658
HD 16895 A_8,HD 16895 A,6.387,0.162,3.057,14.902,11.15,1.21,2.246,0.077271,50.836347,5.75278,0.989081,1,1,1,2035.024658
HD 19373_0,HD 19373,0.74,0.034,3.212,12.892,10.577,1.08,2.23,0.063396,201.691414,0.736162,0.552183,1,1,1,2035.026027
HD 19373_1,HD 19373,9.573,0.042,0.922,0.832,10.577,1.08,2.23,0.850388,164.660773,9.475061,0.491381,0,0,1,2035.026027
HD 19373_2,HD 19373,0.724,0.048,1.483,3.927,10.577,1.08,2.23,0.064107,183.614052,0.692465,0.223446,0,0,1,2035.026027
HD 19373_3,HD 19373,0.676,0.061,1.037,0.843,10.577,1.08,2.23,0.032162,258.816612,0.641089,0.865599,0,0,1,2035.026027
HD 19373_4,HD 19373,8.663,0.026,0.504,0.119,10.577,1.08,2.23,0.814131,1.328323,8.876554,0.206363,0,0,1,2035.026027
HD 19373_5,HD 19373,7.36,0.023,1.036,0.918,10.577,1.08,2.23,0.339777,80.729741,7.514413,0.891053,0,0,1,2035.026027
HD 19373_6,HD 19373,0.114,0.04,2.433,7.589,10.577,1.08,2.23,0.010366,146.996644,0.110076,0.363874,0,0,1,2035.026027
HD 19373_7,HD 19373,2.87,0.048,1.622,4.706,10.577,1.08,2.23,0.27647,170.636534,2.981494,0.226857,0,0,1,2035.026027
HD 141004_0,HD 141004,2.629,0.092,2.901,10.378,11.916,1.09,2.004,0.186806,207.093593,2.5108,0.584325,0,0,1,2035.027397
HD 141004_1,HD 141004,0.651,0.071,0.654,0.077,11.916,1.09,2.004,0.049027,130.890739,0.642523,0.138175,0,0,1,2035.027397
HD 141004_2,HD 141004,4.426,0.098,1.019,0.515,11.916,1.09,2.004,0.332297,20.243297,4.204859,0.504755,0,0,1,2035.027397
HD 141004_3,HD 141004,4.115,0.06,0.578,0.169,11.916,1.09,2.004,0.275223,302.70912,4.265342,0.066235,0,0,1,2035.027397
HD 141004_4,HD 141004,3.163,0.091,1.732,5.377,11.916,1.09,2.004,0.263975,133.404311,3.379993,0.52285,0,0,1,2035.027397
HD 141004_5,HD 141004,4.949,0.17,0.546,0.441,11.916,1.09,2.004,0.4229,9.236692,5.202711,0.452541,0,0,1,2035.027397
HD 7570_0,HD 7570,3.031,0.054,1.134,2.676,15.261,1.14,2.004,0.057507,65.426352,2.990255,0.958742,0,0,1,2035.028767
