PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs,HZ
HD 17206_0,HD 17206,1.742,0.09,0.885,0.481,14.276,1.21,2.617,0.119,80.106,1.792,0.177,0,0,1,2035.012,True
HD 17206_1,HD 17206,0.879,0.039,2.253,4.42,14.276,1.21,2.617,0.034,25.34,0.913,0.018,0,0,1,2035.012,False
HD 17206_2,HD 17206,0.485,0.035,0.762,0.798,14.276,1.21,2.617,0.018,108.06,0.473,0.021,0,0,1,2035.012,False
HD 210302_0,HD 210302,0.937,0.087,1.293,4.329,18.458,1.25,2.918,0.049,61.473,0.963,0.494,0,0,1,2035.014,False
HD 210302_1,HD 210302,0.316,0.034,0.672,0.336,18.458,1.25,2.918,0.013,190.159,0.31,0.062,0,0,1,2035.014,False
HD 210302_2,HD 210302,0.162,0.125,0.82,0.627,18.458,1.25,2.918,0.007,343.281,0.16,0.107,0,0,1,2035.014,False
HD 210302_3,HD 210302,0.925,0.123,2.909,13.478,18.458,1.25,2.918,0.027,169.484,0.991,0.015,0,0,1,2035.014,False
HD 210302_4,HD 210302,1.629,0.122,1.727,3.133,18.458,1.25,2.918,0.035,206.605,1.444,0.903,0,0,1,2035.014,True
HD 128620_0,HD 128620,1.567,0.074,0.945,0.99,1.332,1.11,1.521,0.358,15.142,1.454,0.004,0,0,1,2035.015,True
HD 128620_1,HD 128620,1.266,0.016,1.198,1.075,1.332,1.11,1.521,0.78,100.506,1.272,0.662,1,1,1,2035.015,True
HD 43386_0,HD 43386,2.541,0.037,0.504,0.139,19.588,1.33,2.957,0.021,351.98,2.632,0.0,0,0,1,2035.016,True
HD 43386_1,HD 43386,1.141,0.101,1.584,2.087,19.588,1.33,2.957,0.059,199.812,1.231,0.167,0,0,1,2035.016,False
HD 43386_3,HD 43386,0.289,0.045,1.072,1.323,19.588,1.33,2.957,0.014,253.573,0.297,0.541,0,0,1,2035.016,False
HD 19373_0,HD 19373,0.74,0.034,3.212,7.638,10.577,1.08,2.23,0.065,161.642,0.734,0.514,1,1,1,2035.018,False
HD 19373_2,HD 19373,0.724,0.048,1.483,3.887,10.577,1.08,2.23,0.063,180.371,0.691,0.196,1,1,1,2035.018,False
HD 19373_3,HD 19373,0.676,0.061,1.037,3.107,10.577,1.08,2.23,0.035,110.972,0.639,0.842,0,0,1,2035.018,False
HD 19373_6,HD 19373,0.114,0.04,2.433,5.437,10.577,1.08,2.23,0.006,286.964,0.111,0.018,0,0,1,2035.018,False
HD 19373_7,HD 19373,2.87,0.048,1.622,4.984,10.577,1.08,2.23,0.276,189.903,2.981,0.225,0,0,1,2035.018,False
HD 16895 A_0,HD 16895 A,3.595,0.047,2.816,6.26,11.15,1.21,2.246,0.293,239.098,3.746,0.113,0,0,1,2035.019,False
HD 16895 A_4,HD 16895 A,4.424,0.091,1.274,1.517,11.15,1.21,2.246,0.288,184.495,4.198,0.065,0,0,1,2035.019,False
HD 16895 A_5,HD 16895 A,1.554,0.05,3.144,6.056,11.15,1.21,2.246,0.1,101.039,1.524,0.054,1,1,1,2035.019,True
HD 16895 A_6,HD 16895 A,0.108,0.029,0.508,0.062,11.15,1.21,2.246,0.009,115.148,0.109,0.181,0,0,1,2035.019,False
HD 84737_0,HD 84737,0.596,0.087,1.352,2.836,18.823,1.08,2.795,0.018,27.568,0.635,0.02,0,0,1,2035.021,False
HD 84737_1,HD 84737,3.025,0.071,1.189,2.166,18.823,1.08,2.795,0.098,120.552,2.829,0.794,0,0,1,2035.021,False
HD 84737_2,HD 84737,1.078,0.014,1.079,1.238,18.823,1.08,2.795,0.03,200.002,1.073,0.017,0,0,1,2035.021,False
HD 84737_3,HD 84737,3.774,0.025,0.833,0.582,18.823,1.08,2.795,0.196,246.954,3.686,0.299,0,0,1,2035.021,False
HD 84737_4,HD 84737,0.254,0.074,3.133,5.482,18.823,1.08,2.795,0.013,172.256,0.247,0.277,0,0,1,2035.021,False
HD 84737_5,HD 84737,2.993,0.205,0.508,0.047,18.823,1.08,2.795,0.164,99.14,3.108,0.372,0,0,1,2035.021,False
HD 187691 A_0,HD 187691 A,3.127,0.076,1.475,3.637,19.488,1.25,2.835,0.148,137.94,3.047,0.177,0,0,1,2035.022,False
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,4.223,19.488,1.25,2.835,0.084,270.312,2.617,0.032,0,0,1,2035.022,True
HD 187691 A_2,HD 187691 A,3.249,0.037,0.764,0.21,19.488,1.25,2.835,0.089,243.301,3.367,0.874,0,0,1,2035.022,False
HD 187691 A_3,HD 187691 A,2.018,0.038,2.654,7.67,19.488,1.25,2.835,0.051,280.434,2.088,0.013,0,0,1,2035.022,True
HD 43042_0,HD 43042,4.095,0.078,0.558,0.189,21.776,1.29,2.936,0.169,295.717,3.825,0.192,0,0,1,2035.023,False
HD 43042_1,HD 43042,0.434,0.11,0.533,0.125,21.776,1.29,2.936,0.019,310.447,0.426,0.242,0,0,1,2035.023,False
HD 43042_3,HD 43042,0.724,0.14,0.733,0.336,21.776,1.29,2.936,0.016,191.595,0.825,0.914,0,0,1,2035.023,False
HD 212330 A_0,HD 212330 A,1.747,0.031,3.281,22.163,20.34,1.02,2.726,0.082,145.967,1.7,0.224,1,1,1,2035.025,True
HD 141004_0,HD 141004,2.629,0.092,2.901,9.32,11.916,1.09,2.004,0.187,152.91,2.511,0.586,1,1,1,2035.026,False
HD 141004_1,HD 141004,0.651,0.071,0.654,0.192,11.916,1.09,2.004,0.049,229.143,0.642,0.132,0,0,1,2035.026,False
HD 141004_2,HD 141004,4.426,0.098,1.019,0.86,11.916,1.09,2.004,0.332,339.792,4.205,0.505,0,0,1,2035.026,False
HD 141004_3,HD 141004,4.115,0.06,0.578,0.156,11.916,1.09,2.004,0.275,57.352,4.266,0.066,0,0,1,2035.026,False
HD 141004_4,HD 141004,3.163,0.091,1.732,5.597,11.916,1.09,2.004,0.264,226.681,3.38,0.523,0,0,1,2035.026,False
HD 4614 A_0,HD 4614 A,4.718,0.051,1.358,2.277,5.01,1.14,1.252,0.882,34.332,4.956,0.125,0,0,1,2035.027,False
HD 4614 A_1,HD 4614 A,0.651,0.133,0.728,0.414,5.01,1.14,1.252,0.075,223.654,0.727,0.874,1,1,1,2035.027,False
HD 4614 A_2,HD 4614 A,2.584,0.017,1.361,5.26,5.01,1.14,1.252,0.416,323.985,2.627,0.684,1,1,1,2035.027,False
HD 58855_0,HD 58855,3.917,0.055,2.746,19.491,20.402,1.16,2.445,0.12,237.695,4.07,0.825,1,1,1,2035.029,False
HD 58855_3,HD 58855,0.12,0.023,0.846,0.638,20.402,1.16,2.445,0.005,342.812,0.123,0.087,0,0,1,2035.029,False
HD 58855_4,HD 58855,1.787,0.062,0.53,0.05,20.402,1.16,2.445,0.017,128.137,1.817,0.983,0,0,1,2035.029,True
HD 58855_5,HD 58855,2.753,0.078,0.74,0.236,20.402,1.16,2.445,0.076,91.668,2.923,0.866,0,0,1,2035.029,False
HD 58855_6,HD 58855,3.408,0.008,0.67,0.345,20.402,1.16,2.445,0.114,205.008,3.414,0.042,0,0,1,2035.029,False
HD 58855_7,HD 58855,0.511,0.017,1.169,0.638,20.402,1.16,2.445,0.018,234.361,0.507,0.048,0,0,1,2035.029,False
HD 58855_8,HD 58855,3.679,0.02,1.665,2.944,20.402,1.16,2.445,0.129,28.471,3.705,0.049,0,0,1,2035.029,False
HD 7570_0,HD 7570,3.031,0.054,1.134,0.839,15.261,1.14,2.004,0.057,294.394,2.99,0.959,0,0,1,2035.03,False
HD 7570_1,HD 7570,0.15,0.071,0.941,0.934,15.261,1.14,2.004,0.007,263.796,0.14,0.745,0,0,1,2035.03,False
HD 7570_2,HD 7570,1.977,0.063,1.73,5.46,15.261,1.14,2.004,0.104,137.817,1.987,0.079,0,0,1,2035.03,True
HD 7570_3,HD 7570,3.034,0.079,1.364,2.113,15.261,1.14,2.004,0.177,92.212,3.267,0.652,0,0,1,2035.03,False
HD 7570_4,HD 7570,0.569,0.099,0.726,0.218,15.261,1.14,2.004,0.041,113.207,0.621,0.316,0,0,1,2035.03,False
HD 84117_2,HD 84117,0.48,0.183,0.807,0.221,14.951,1.14,1.977,0.013,208.492,0.521,0.006,0,0,1,2035.032,False
HD 84117_3,HD 84117,2.469,0.127,0.583,0.082,14.951,1.14,1.977,0.127,270.491,2.616,0.053,0,0,1,2035.032,False
HD 84117_5,HD 84117,2.421,0.095,0.605,0.152,14.951,1.14,1.977,0.167,160.543,2.651,0.506,0,0,1,2035.032,False
HD 190248_1,HD 190248,1.11,0.055,1.408,1.805,6.099,0.94,1.25,0.117,172.358,1.161,0.818,1,1,1,2035.033,True
HD 190248_2,HD 190248,3.754,0.072,1.017,1.843,6.099,0.94,1.25,0.557,328.22,3.991,0.101,0,0,1,2035.033,False
HD 190248_3,HD 190248,1.406,0.139,0.51,0.145,6.099,0.94,1.25,0.083,56.308,1.562,0.004,0,0,1,2035.033,True
HD 34411_0,HD 34411,0.295,0.082,3.192,20.914,12.562,1.08,1.732,0.022,24.096,0.272,0.32,0,0,1,2035.034,False
HD 34411_1,HD 34411,1.539,0.078,0.897,0.594,12.562,1.08,1.732,0.109,111.205,1.511,0.554,1,1,1,2035.034,True
HD 34411_3,HD 34411,1.691,0.074,0.798,0.788,12.562,1.08,1.732,0.123,112.998,1.583,0.429,0,0,1,2035.034,True
HD 203608_0,HD 203608,2.203,0.092,1.79,8.196,9.258,1.14,1.466,0.194,52.345,2.007,0.576,1,1,1,2035.036,False
HD 203608_1,HD 203608,2.342,0.1,0.502,0.084,9.258,1.14,1.466,0.078,320.247,2.527,0.96,0,0,1,2035.036,False
HD 203608_2,HD 203608,2.74,0.062,1.086,2.044,9.258,1.14,1.466,0.143,130.003,2.858,0.897,0,0,1,2035.036,False
HD 203608_5,HD 203608,4.293,0.038,0.929,1.188,9.258,1.14,1.466,0.406,263.851,4.357,0.107,0,0,1,2035.036,False
HD 203608_6,HD 203608,0.526,0.072,0.985,0.835,9.258,1.14,1.466,0.036,72.516,0.507,0.787,0,0,1,2035.036,False
HD 160691_0,HD 160691,1.46,0.051,0.67,0.222,15.604,1.0,1.899,0.098,338.467,1.53,0.333,0,0,1,2035.037,True
HD 160691_1,HD 160691,0.274,0.085,0.88,0.654,15.604,1.0,1.899,0.017,15.44,0.272,0.44,0,0,1,2035.037,False
HD 160691_2,HD 160691,0.346,0.144,0.58,0.113,15.604,1.0,1.899,0.01,351.455,0.379,0.917,0,0,1,2035.037,False
HD 160691_3,HD 160691,0.123,0.058,0.556,0.116,15.604,1.0,1.899,0.008,66.888,0.126,0.466,0,0,1,2035.037,False
HD 160691_4,HD 160691,2.415,0.073,1.777,3.87,15.604,1.0,1.899,0.149,90.8,2.325,0.35,0,0,1,2035.037,False
HD 160691_6,HD 160691,2.937,0.058,2.424,7.702,15.604,1.0,1.899,0.092,201.224,3.083,0.012,0,0,1,2035.037,False
HD 160691_7,HD 160691,3.23,0.098,2.375,2.699,15.604,1.0,1.899,0.152,179.519,2.914,0.084,0,0,1,2035.037,False
HD 114710_0,HD 114710,1.415,0.117,0.681,0.481,9.197,1.11,1.357,0.145,174.795,1.565,0.627,0,0,1,2035.038,True
HD 114710_1,HD 114710,0.314,0.116,0.63,0.141,9.197,1.11,1.357,0.032,345.273,0.326,0.124,0,0,1,2035.038,False
HD 114710_2,HD 114710,2.258,0.018,0.683,0.149,9.197,1.11,1.357,0.21,271.751,2.218,0.113,0,0,1,2035.038,False
HD 114710_4,HD 114710,0.861,0.053,0.898,0.364,9.197,1.11,1.357,0.088,57.423,0.816,0.263,1,1,1,2035.038,False
HD 114710_5,HD 114710,0.124,0.109,3.108,4.801,9.197,1.11,1.357,0.008,359.942,0.123,0.833,0,0,1,2035.038,False
HD 1581_1,HD 1581,1.541,0.046,2.633,4.55,8.607,1.11,1.262,0.119,236.257,1.491,0.771,1,1,1,2035.04,True
HD 1581_2,HD 1581,0.181,0.101,0.988,0.788,8.607,1.11,1.262,0.009,179.193,0.194,0.924,0,0,1,2035.04,False
HD 1581_3,HD 1581,1.491,0.126,2.76,9.091,8.607,1.11,1.262,0.128,107.219,1.671,0.038,0,0,1,2035.04,True
HD 1581_4,HD 1581,0.208,0.109,2.378,7.928,8.607,1.11,1.262,0.02,71.205,0.201,0.638,0,0,1,2035.04,False
HD 90839_0,HD 90839,3.665,0.022,0.781,0.406,12.945,1.18,1.605,0.159,198.888,3.606,0.023,0,0,1,2035.041,False
HD 90839_1,HD 90839,0.191,0.094,1.403,1.498,12.945,1.18,1.605,0.015,138.276,0.205,0.507,0,0,1,2035.041,False
HD 90839_2,HD 90839,3.378,0.112,1.125,1.163,12.945,1.18,1.605,0.145,30.929,3.296,0.844,0,0,1,2035.041,False
HD 90839_5,HD 90839,0.15,0.051,2.273,7.359,12.945,1.18,1.605,0.007,142.423,0.146,0.034,0,0,1,2035.041,False
HD 33262 A_0,HD 33262 A,4.098,0.155,0.949,1.396,11.693,1.14,1.466,0.373,222.445,4.588,0.18,0,0,1,2035.042,False
HD 33262 A_1,HD 33262 A,3.3,0.062,1.368,3.018,11.693,1.14,1.466,0.128,319.03,3.455,0.009,0,0,1,2035.042,False
HD 33262 A_2,HD 33262 A,3.337,0.087,0.965,0.878,11.693,1.14,1.466,0.271,358.55,3.506,0.134,0,0,1,2035.042,False
HD 33262 A_4,HD 33262 A,1.015,0.091,2.255,4.512,11.693,1.14,1.466,0.017,69.083,0.951,0.98,0,0,1,2035.042,True
HD 33262 A_5,HD 33262 A,0.358,0.206,1.487,4.188,11.693,1.14,1.466,0.034,140.872,0.418,0.506,0,0,1,2035.042,False
HD 33262 A_6,HD 33262 A,0.874,0.139,0.646,0.237,11.693,1.14,1.466,0.04,105.706,0.831,0.023,0,0,1,2035.042,False
HD 33262 A_8,HD 33262 A,0.199,0.101,2.893,19.25,11.693,1.14,1.466,0.007,125.227,0.181,0.916,0,0,1,2035.042,False
HD 109358_0,HD 109358,0.599,0.064,0.661,0.181,8.473,1.08,1.151,0.075,258.982,0.636,0.265,1,1,1,2035.044,False
HD 109358_1,HD 109358,0.313,0.024,1.946,4.902,8.473,1.08,1.151,0.013,176.647,0.306,0.005,0,0,1,2035.044,False
HD 109358_3,HD 109358,0.172,0.066,1.409,3.279,8.473,1.08,1.151,0.02,270.487,0.174,0.259,0,0,1,2035.044,False
HD 109358_4,HD 109358,1.488,0.078,0.58,0.237,8.473,1.08,1.151,0.155,154.155,1.414,0.525,0,0,1,2035.044,True
HD 109358_5,HD 109358,3.968,0.05,3.285,8.264,8.473,1.08,1.151,0.405,39.202,4.028,0.101,0,0,1,2035.044,False
HD 95128_1,HD 95128,2.285,0.074,0.586,0.123,13.887,1.07,1.577,0.168,209.596,2.37,0.415,0,0,1,2035.045,False
HD 95128_2,HD 95128,4.586,0.035,0.538,0.151,13.887,1.07,1.577,0.234,330.301,4.674,0.045,0,0,1,2035.045,False
HD 95128_3,HD 95128,0.343,0.031,2.771,11.324,13.887,1.07,1.577,0.02,215.722,0.345,0.074,0,0,1,2035.045,False
HD 95128_4,HD 95128,2.15,0.173,1.218,1.843,13.887,1.07,1.577,0.165,337.323,2.519,0.137,0,0,1,2035.045,False
HD 95128_5,HD 95128,0.6,0.105,2.299,6.552,13.887,1.07,1.577,0.044,291.48,0.655,0.507,0,0,1,2035.045,False
HD 95128_6,HD 95128,0.335,0.024,2.419,6.471,13.887,1.07,1.577,0.025,200.355,0.342,0.309,0,0,1,2035.045,False
HD 95128_7,HD 95128,0.847,0.089,1.394,2.221,13.887,1.07,1.577,0.053,219.273,0.865,0.1,0,0,1,2035.045,False
HD 95128_8,HD 95128,0.588,0.034,2.182,4.922,13.887,1.07,1.577,0.03,154.353,0.589,0.751,0,0,1,2035.045,False
HD 143761_0,HD 143761,2.268,0.052,0.622,0.266,17.511,0.97,1.812,0.081,216.714,2.333,0.822,0,0,1,2035.047,False
HD 143761_3,HD 143761,0.463,0.017,0.834,0.418,17.511,0.97,1.812,0.025,320.376,0.47,0.162,0,0,1,2035.047,False
HD 143761_4,HD 143761,1.096,0.157,0.808,2.884,17.511,0.97,1.812,0.063,184.874,1.234,0.577,1,1,1,2035.047,False
HD 143761_5,HD 143761,0.834,0.096,1.155,1.238,17.511,0.97,1.812,0.029,207.36,0.902,0.022,0,0,1,2035.047,False
HD 143761_7,HD 143761,2.609,0.089,2.154,7.734,17.511,0.97,1.812,0.141,183.946,2.539,0.214,0,0,1,2035.047,False
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,2.632,18.202,1.18,1.826,0.099,180.165,1.818,0.261,0,0,1,2035.048,True
