iteration,chain,alpha,beta,gamma,freq,e_alpha,e_beta,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,-1.1440916524298643,-0.8566840249090824,-0.8980426631854694,4.022653912475001,4.683212718635077,58.15106586956763,-909.9966752131519,7.0,1.0,0.8239616765067286,-909.9966752131519,911.3984064438055,0.2116481396905101,0.38422227116302565,3.0,0.0,0.2267085511752513,0.2267085511752513
502,1,-1.0656668238731086,-0.6216893084740445,-0.6296115688932087,3.522582727815622,4.89546137749323,61.398853558638145,-911.1156672817763,15.0,1.0,0.946428082804946,-911.1156672817763,912.2987612229451,0.12453860075174816,0.22729853604039363,4.0,0.0,0.2267085511752513,0.2267085511752513
503,1,-1.3336772580326084,-0.6626544234705314,-1.018956651398815,3.679545080440784,4.483700125401955,57.50968624962388,-910.9116855056691,15.0,1.0,0.9104348351416741,-910.9116855056691,914.2286632222721,0.3190933879199065,-0.3834037404241144,3.0,0.0,0.2267085511752513,0.2267085511752513
504,1,-1.341234408166354,-0.7016509039745813,-0.808634105323291,4.019458194689606,5.456206391572179,69.80841136913548,-910.1716814164012,31.0,1.0,0.9831357758008386,-910.1716814164012,913.0700902315925,-0.17682014521221845,-0.7501737372193702,4.0,0.0,0.2267085511752513,0.2267085511752513
505,1,-1.3392649851883682,-0.6667269760762284,-0.4957470632085901,3.7865612034596436,5.194947003904251,64.87712628778769,-909.3369962213477,15.0,1.0,0.9720286338294319,-909.3369962213477,911.1377449256486,-0.1994644482476815,-0.3939436719422247,4.0,0.0,0.2267085511752513,0.2267085511752513
506,1,-1.3905772116744384,-0.6240711437399078,-0.8930648377557997,3.998892248290131,5.573162073835977,66.56851498856877,-909.9795725273656,7.0,1.0,0.88252645023641,-909.9795725273656,912.1180590387631,-0.1479141988104402,0.32651040951702726,3.0,0.0,0.2267085511752513,0.2267085511752513
507,1,-1.446417501677212,-0.7806956867350561,0.24891851962505385,4.06815634941515,4.606803875248552,56.12794890202331,-912.2514428018379,15.0,1.0,0.8624814353287792,-912.2514428018379,914.1713739862957,0.05335174598496906,0.3133039536145361,4.0,0.0,0.2267085511752513,0.2267085511752513
508,1,-1.141174266975728,-0.8282820299270721,0.10058986461715591,3.9928874083771677,4.613736789403933,54.42089739647129,-910.4532381768681,15.0,1.0,0.9679068095204961,-910.4532381768681,913.5066676774844,-0.13995978942705278,-0.13995978942705278,4.0,0.0,0.2267085511752513,0.2267085511752513
509,1,-0.9390173016537258,-0.8092710405990218,-0.3359956182078516,3.525934424092661,5.909352195558508,65.82879244443936,-910.7957818428769,15.0,1.0,0.7708408778810745,-910.7957818428769,916.1153443130537,0.3300686779756461,0.4698921765759678,4.0,0.0,0.2267085511752513,0.2267085511752513
510,1,-0.9712276999784688,-0.8261487573256119,-0.05569377781370477,3.5629736490396517,5.858757310705682,73.26911340022107,-911.9349408917667,15.0,1.0,0.9927060611686905,-911.9349408917667,914.1710096232849,-0.02081557024735048,-0.31608142024595054,4.0,0.0,0.2267085511752513,0.2267085511752513
