PlanetID,StarName,M_sol,L_sol,SMA_AU,Mp_MEarth,Rp_REarth,ecc,NDet,P_yr,HZ
HD 100623 A_0,HD 100623 A,0.88,0.37,4.014,8.448,2.503,0.105,21,8.573,False
HD 101501_7,HD 101501,0.94,0.609,0.888,0.333,0.887,0.054,9,0.863,True
HD 102365_0,HD 102365,1.02,0.844,1.154,11.472,2.235,0.024,36,1.227,True
HD 10360_1,HD 10360,0.78,0.345,0.559,0.063,0.525,0.036,21,0.473,True
HD 10360_2,HD 10360,0.78,0.345,3.873,7.34,2.182,0.13,21,8.63,False
HD 10361_1,HD 10361,0.77,0.304,0.761,2.715,1.303,0.025,24,0.757,True
HD 10361_2,HD 10361,0.77,0.304,0.985,0.596,0.785,0.066,19,1.114,False
HD 10780_0,HD 10780,0.9,0.516,0.841,1.181,1.077,0.11,27,0.813,True
HD 10780_3,HD 10780,0.9,0.516,2.25,1.367,1.348,0.098,15,3.558,False
HD 10780_4,HD 10780,0.9,0.516,2.669,12.001,2.513,0.102,21,4.596,False
HD 109358_0,HD 109358,1.08,1.151,0.599,0.193,0.661,0.064,36,0.446,False
HD 114710_0,HD 114710,1.11,1.357,1.415,0.147,0.681,0.117,3,1.598,True
HD 114710_4,HD 114710,1.11,1.357,0.861,0.439,0.898,0.053,36,0.758,False
HD 115617_1,HD 115617,0.97,0.825,0.76,6.157,2.931,0.09,24,0.673,True
HD 115617_2,HD 115617,0.97,0.825,0.621,0.059,0.562,0.047,36,0.497,False
HD 115617_5,HD 115617,0.97,0.825,2.098,3.177,1.487,0.045,26,3.085,False
HD 128167_0,HD 128167,1.39,3.182,1.283,1.29,1.15,0.14,16,1.233,False
HD 128167_4,HD 128167,1.39,3.182,1.323,2.477,1.923,0.044,14,1.291,False
HD 128620_0,HD 128620,1.11,1.521,1.567,0.738,0.945,0.074,9,1.862,True
HD 128620_1,HD 128620,1.11,1.521,1.266,6.221,1.198,0.016,27,1.352,True
HD 128621_0,HD 128621,0.94,0.503,0.181,0.281,0.591,0.076,36,0.079,False
HD 128621_4,HD 128621,0.94,0.503,1.135,1.502,1.179,0.055,20,1.247,True
HD 131156 A_0,HD 131156 A,0.96,0.553,0.922,6.027,2.426,0.01,36,0.904,True
HD 131156 A_1,HD 131156 A,0.96,0.553,1.097,4.971,1.932,0.147,31,1.173,True
HD 131977_0,HD 131977,0.72,0.223,2.114,3.47,1.305,0.033,26,3.622,False
HD 134083_3,HD 134083,1.33,3.255,0.749,0.684,0.881,0.13,1,0.562,False
HD 134083_4,HD 134083,1.33,3.255,0.959,0.338,0.591,0.114,20,0.814,False
HD 136352_2,HD 136352,1.02,1.029,0.995,3.519,1.549,0.082,20,0.983,True
HD 136352_3,HD 136352,1.02,1.029,3.774,4.78,2.041,0.069,15,7.259,False
HD 136352_4,HD 136352,1.02,1.029,1.831,0.342,0.826,0.068,4,2.453,False
HD 141004_0,HD 141004,1.09,2.004,2.629,8.518,2.901,0.092,21,4.083,False
HD 142373_0,HD 142373,1.08,3.136,1.268,0.148,0.757,0.168,27,1.374,False
HD 142373_2,HD 142373,1.08,3.136,0.834,6.259,2.923,0.129,26,0.733,False
HD 142373_4,HD 142373,1.08,3.136,1.161,2.536,1.265,0.006,27,1.204,False
HD 142373_7,HD 142373,1.08,3.136,1.878,6.816,2.611,0.051,23,2.476,True
HD 142373_8,HD 142373,1.08,3.136,3.092,7.326,1.805,0.053,36,5.232,False
HD 142860_3,HD 142860,1.25,3.039,0.465,1.786,1.963,0.068,10,0.284,False
HD 142860_5,HD 142860,1.25,3.039,0.92,8.017,2.443,0.074,27,0.789,False
HD 142860_6,HD 142860,1.25,3.039,0.627,5.436,3.102,0.092,15,0.444,False
HD 143761_4,HD 143761,0.97,1.812,1.096,0.895,0.808,0.157,17,1.165,False
HD 143761_5,HD 143761,0.97,1.812,0.834,1.684,1.155,0.096,13,0.773,False
HD 143761_7,HD 143761,0.97,1.812,2.609,12.289,2.154,0.089,8,4.279,False
HD 147513_6,HD 147513,1.07,1.001,1.743,2.912,1.796,0.075,24,2.225,False
HD 149661_5,HD 149661,0.87,0.462,3.155,7.428,2.936,0.051,26,6.008,False
HD 155885_0,HD 155885,0.85,0.332,0.424,0.365,1.08,0.016,11,0.299,False
HD 155885_4,HD 155885,0.85,0.332,2.293,0.685,0.991,0.052,8,3.766,False
HD 155886_1,HD 155886,0.85,0.327,0.511,0.549,0.698,0.064,36,0.396,True
HD 155886_3,HD 155886,0.85,0.327,1.253,7.774,2.915,0.044,36,1.521,False
HD 155886_4,HD 155886,0.85,0.327,0.305,0.937,0.94,0.028,18,0.183,False
HD 155886_6,HD 155886,0.85,0.327,0.316,1.735,0.948,0.044,36,0.193,False
