PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 72905_0,HD 72905,1.629,0.2,1.0,1.301,14.439,1.08,0.973,0.107599,88.370054,1.644946,0.513488,1,1,1,2035.0
HD 72905_0,HD 72905,1.629,0.2,1.0,1.301,14.439,1.08,0.973,0.098626,273.891348,1.48029,0.166495,1,2,2,2035.744479
HD 72905_0,HD 72905,1.629,0.2,1.0,1.301,14.439,1.08,0.973,0.126861,138.175228,1.916325,0.322653,1,3,3,2036.638273
HD 72905_0,HD 72905,1.629,0.2,1.0,1.301,14.439,1.08,0.973,0.088722,346.775621,1.30482,0.430758,1,4,4,2037.426588
HD 72905_0,HD 72905,1.629,0.2,1.0,1.301,14.439,1.08,0.973,0.107025,224.728247,1.715862,0.131883,1,5,5,2037.976546
HD 72905_0,HD 72905,1.629,0.2,1.0,1.301,14.439,1.08,0.973,0.111709,95.471704,1.66918,0.501643,1,6,6,2038.975819
HD 72905_0,HD 72905,1.629,0.2,1.0,1.301,14.439,1.08,0.973,0.090526,332.039292,1.307961,0.356911,1,7,7,2039.495641
HD 72905_0,HD 72905,1.629,0.2,1.0,1.301,14.439,1.08,0.973,,,1.771419,0.136008,0,7,8,2040.03875
