PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 72905_0,HD 72905,1.129,0.099,0.912,0.308,14.439,1.08,0.973,0.049592,120.942143,1.236539,0.024055,0,2,7,2038.445205
HD 30495_1,HD 30495,1.516,0.121,1.188,1.92,13.24,1.04,0.966,0.12787,317.130476,1.699285,0.36247,1,5,5,2038.460274
HD 160691_1,HD 160691,1.549,0.079,0.867,0.464,15.604,1.0,1.899,0.093972,144.243268,1.509326,0.208816,1,5,5,2038.465753
HD 43386_1,HD 43386,1.699,0.14,0.955,0.772,19.588,1.33,2.957,0.070774,330.243718,1.516835,0.141993,0,4,8,2038.471918
HD 10700_1,HD 10700,1.075,0.026,0.812,1.015,3.652,0.94,0.506,0.257244,320.94055,1.084431,0.109163,1,6,8,2038.486986
HD 10700_6,HD 10700,1.108,0.065,1.12,0.759,3.652,0.94,0.506,0.265101,94.973733,1.179862,0.086102,1,5,8,2038.486986
HD 102365_5,HD 102365,1.166,0.049,0.906,0.425,9.319,1.02,0.844,0.107191,214.407556,1.155229,0.610537,1,6,6,2038.529452
HD 131156 A_3,HD 131156 A,0.725,0.048,0.988,0.855,6.754,0.96,0.553,0.066914,23.100749,0.691272,0.793163,1,8,8,2038.610274
HD 95128_1,HD 95128,1.071,0.046,0.81,0.796,13.887,1.07,1.577,0.068809,12.313391,1.087851,0.116432,1,6,7,2038.680822
HD 43042_5,HD 43042,1.532,0.077,1.331,2.258,21.776,1.29,2.936,0.065031,344.618041,1.444033,0.226593,1,5,6,2038.734932
HD 134083_5,HD 134083,1.875,0.031,1.198,1.784,19.536,1.33,3.255,0.088396,309.468772,1.825369,0.173171,1,6,6,2038.800685
HD 693_9,HD 693,2.179,0.102,1.017,0.608,18.886,1.18,2.997,0.100057,262.971211,2.023988,0.159849,0,4,6,2038.867808
HD 131977_5,HD 131977,0.527,0.147,1.054,2.008,5.886,0.72,0.223,0.063155,201.036093,0.604238,0.817906,1,8,8,2038.919863
HD 142860_2,HD 142860,2.291,0.114,1.329,3.22,11.254,1.25,3.039,0.057177,23.483655,2.205071,0.959207,0,2,7,2038.943836
HD 95128_1,HD 95128,1.071,0.046,0.81,0.796,13.887,1.07,1.577,0.06269,163.325828,1.021747,0.101279,1,7,8,2039.004795
HD 102365_5,HD 102365,1.166,0.049,0.906,0.425,9.319,1.02,0.844,0.106589,32.798583,1.169114,0.100005,1,7,7,2039.106849
HD 134083_5,HD 134083,1.875,0.031,1.198,1.784,19.536,1.33,3.255,0.085712,8.244287,1.820994,0.146721,1,7,7,2039.119178
HD 160691_1,HD 160691,1.549,0.079,0.867,0.464,15.604,1.0,1.899,0.090456,257.811516,1.667986,0.631094,1,6,6,2039.15
HD 142860_2,HD 142860,2.291,0.114,1.329,3.22,11.254,1.25,3.039,0.099208,100.490788,2.336657,0.891256,1,3,8,2039.193836
HD 693_9,HD 693,2.179,0.102,1.017,0.608,18.886,1.18,2.997,0.080913,322.97517,1.957148,0.070353,0,4,7,2039.235616
HD 142373_6,HD 142373,1.406,0.045,1.017,0.647,15.898,1.08,3.136,0.083856,109.685493,1.448596,0.147384,1,7,7,2039.252055
HD 72905_0,HD 72905,1.129,0.099,0.912,0.308,14.439,1.08,0.973,0.076644,7.801588,1.144736,0.200895,1,3,8,2039.263699
HD 23249_2,HD 23249,1.416,0.072,0.972,0.904,9.089,0.87,2.941,0.145082,127.792392,1.382949,0.483559,1,5,8,2039.323973
HD 43042_5,HD 43042,1.532,0.077,1.331,2.258,21.776,1.29,2.936,0.069002,157.649153,1.559124,0.196278,1,6,7,2039.373973
HD 30495_1,HD 30495,1.516,0.121,1.188,1.92,13.24,1.04,0.966,0.100256,137.092494,1.332673,0.275086,1,6,6,2039.380137
HD 86728 A_3,HD 86728 A,1.803,0.069,0.936,0.842,14.926,1.0,1.378,0.116163,8.025985,1.87214,0.52983,1,3,7,2039.382192
HD 102365_5,HD 102365,1.166,0.049,0.906,0.425,9.319,1.02,0.844,0.113459,78.693932,1.222465,0.610282,1,8,8,2039.385616
HD 693_9,HD 693,2.179,0.102,1.017,0.608,18.886,1.18,2.997,0.09136,7.060989,2.001536,0.106731,0,4,8,2039.485616
HD 142373_6,HD 142373,1.406,0.045,1.017,0.647,15.898,1.08,3.136,0.089743,163.658637,1.468895,0.208429,1,8,8,2039.502055
HD 160691_1,HD 160691,1.549,0.079,0.867,0.464,15.604,1.0,1.899,0.090435,12.730802,1.462824,0.197691,1,7,7,2039.810959
HD 160691_1,HD 160691,1.549,0.079,0.867,0.464,15.604,1.0,1.899,0.077728,82.977839,1.431135,0.0989,0,7,8,2040.113014
HD 134083_5,HD 134083,1.875,0.031,1.198,1.784,19.536,1.33,3.255,0.090255,166.486798,1.933069,0.550382,1,8,8,2040.118493
HD 30495_1,HD 30495,1.516,0.121,1.188,1.92,13.24,1.04,0.966,0.119055,313.425805,1.687504,0.517339,1,7,7,2040.186301
HD 43042_5,HD 43042,1.532,0.077,1.331,2.258,21.776,1.29,2.936,0.062284,334.53921,1.509559,0.569018,1,7,8,2040.237671
HD 86728 A_3,HD 86728 A,1.803,0.069,0.936,0.842,14.926,1.0,1.378,0.121465,145.506683,1.813994,0.301835,1,4,8,2040.380137
HD 30495_1,HD 30495,1.516,0.121,1.188,1.92,13.24,1.04,0.966,0.067205,337.006404,1.587098,0.021586,0,7,8,2040.678767
