PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 100623 A_3,HD 100623 A,4.384,0.075,1.441,2.214,9.559,0.88,0.37,0.244,159.351,4.667,0.881,0,0,1,2035.0
HD 100623 A_4,HD 100623 A,2.524,0.072,0.66,0.613,9.559,0.88,0.37,0.235,77.397,2.434,0.15,0,0,1,2035.0
HD 100623 A_5,HD 100623 A,4.18,0.038,0.734,0.337,9.559,0.88,0.37,0.433,349.327,4.177,0.393,0,0,1,2035.0
HD 100623 A_6,HD 100623 A,0.362,0.165,0.555,0.359,9.559,0.88,0.37,0.026,197.172,0.314,0.684,0,0,1,2035.0
HD 100623 A_7,HD 100623 A,4.073,0.068,1.365,1.972,9.559,0.88,0.37,0.191,210.702,3.823,0.013,0,0,1,2035.0
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.068,129.36,0.774,0.748,1,1,1,2035.0
HD 10361_2,HD 10361,0.985,0.066,0.785,0.596,8.197,0.77,0.304,0.085,75.141,1.015,0.043,0,0,1,2035.0
HD 10361_3,HD 10361,1.525,0.07,0.586,0.784,8.197,0.77,0.304,0.159,45.524,1.597,0.661,0,0,1,2035.0
HD 10361_4,HD 10361,4.037,0.084,0.501,0.084,8.197,0.77,0.304,0.439,353.468,3.892,0.533,0,0,1,2035.0
HD 101501_3,HD 101501,0.112,0.069,1.262,2.497,9.576,0.94,0.609,0.007,266.835,0.114,0.854,0,0,1,2035.0
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.009,304.863,0.922,0.0,0,0,1,2035.0
HD 4391_0,HD 4391,0.363,0.182,1.471,1.692,15.049,0.98,0.923,0.021,97.282,0.33,0.18,0,0,1,2035.0
HD 4391_1,HD 4391,1.544,0.114,0.614,0.159,15.049,0.98,0.923,0.051,38.093,1.635,0.896,0,0,1,2035.0
HD 4391_2,HD 4391,0.361,0.058,0.863,0.256,15.049,0.98,0.923,0.021,266.636,0.349,0.123,0,0,1,2035.0
