PlanetID,period,ecc,StarName,Rp_REarth,M_sol,FinalPosteriorEpoch,NDetectedEpochs
HD 142373_1,2.256442029594614,0.10555847744564695,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2568381478038226,0.10287465511751659,HD 142373,0.868,1.08,8,8
HD 142373_1,2.246806959873439,0.10929236567865733,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2558681597925583,0.0999773330236902,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2521273257823604,0.11477615105167743,HD 142373,0.868,1.08,8,8
HD 142373_1,2.24681100448576,0.1042024457294135,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2567846632021302,0.11003236002169119,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2529001008263894,0.09147742860730061,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2529481253422152,0.1101787528740324,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2476843839652605,0.09747332061705333,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2477093702384723,0.097494888371687,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2496276404335016,0.10390060709430883,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2570588718415747,0.10485272742503791,HD 142373,0.868,1.08,8,8
HD 142373_1,2.250170306992474,0.10861915107572342,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2524521966949003,0.1084485246055774,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2582698372226675,0.1042611178453775,HD 142373,0.868,1.08,8,8
HD 142373_1,2.25483579846236,0.09913241946313775,HD 142373,0.868,1.08,8,8
HD 142373_1,2.253389990198782,0.1272070464364718,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2605107592062765,0.10448065821543603,HD 142373,0.868,1.08,8,8
HD 142373_1,2.259684203998769,0.09974312530730492,HD 142373,0.868,1.08,8,8
HD 142373_1,2.255567978199749,0.10027318955462008,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2640146250350752,0.10581492926991191,HD 142373,0.868,1.08,8,8
HD 142373_1,2.257737316707846,0.1138687167564862,HD 142373,0.868,1.08,8,8
HD 142373_1,2.252450059246113,0.10628233966718516,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2539477331265187,0.1034534418857608,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2489372401879177,0.10639298248338007,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2455355123934857,0.09714481877090936,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2500089727166057,0.10486944342709768,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2514595310096452,0.10485168416554669,HD 142373,0.868,1.08,8,8
HD 142373_1,2.254557452624855,0.10949369091407515,HD 142373,0.868,1.08,8,8
HD 142373_1,2.255249764913344,0.10102115064649819,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2545170904128033,0.10620126219650267,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2555743653757974,0.1053154638065837,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2457834805084076,0.1055624378628024,HD 142373,0.868,1.08,8,8
HD 142373_1,2.253422092550207,0.10562713025551816,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2517717727907995,0.09830455783936662,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2532947575498037,0.09380677228904455,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2526716363612027,0.09996735098879271,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2397024131527385,0.10854721975311368,HD 142373,0.868,1.08,8,8
HD 142373_1,2.255735620500267,0.11509121098881028,HD 142373,0.868,1.08,8,8
HD 142373_1,2.248271800450475,0.10539090459537746,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2543131529245217,0.09321041944419826,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2556779736999526,0.1069740783881532,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2559719499484943,0.1063351426052075,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2445561816206685,0.09986764630633861,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2468764123137768,0.10922917474193918,HD 142373,0.868,1.08,8,8
HD 142373_1,2.240526913036303,0.09504777705826584,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2460373487697725,0.10139739700607199,HD 142373,0.868,1.08,8,8
HD 142373_1,2.254475850417078,0.10775013724156814,HD 142373,0.868,1.08,8,8
HD 142373_1,2.255686747801734,0.10062792863742297,HD 142373,0.868,1.08,8,8
HD 142373_1,2.24465647039362,0.11084028268847977,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2503483911374307,0.1063024759949766,HD 142373,0.868,1.08,8,8
HD 142373_1,2.258175489326784,0.12138622643374744,HD 142373,0.868,1.08,8,8
HD 142373_1,2.259073369848554,0.09931082854728172,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2423160916035467,0.10066612781723687,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2592409406214444,0.09766594414678524,HD 142373,0.868,1.08,8,8
HD 142373_1,2.256806543716783,0.08753772801500492,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2543697193449446,0.10406367074493013,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2529551479730126,0.09387413984125427,HD 142373,0.868,1.08,8,8
HD 142373_1,2.25686009950587,0.10950042812312737,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2581408880592218,0.09157620298833805,HD 142373,0.868,1.08,8,8
HD 142373_1,2.2548206907446113,0.10243477442382887,HD 142373,0.868,1.08,8,8
HD 142373_1,2.256746940386106,0.10704628721083903,HD 142373,0.868,1.08,8,8
