HIPName,HDName,RA,DEC,V,SpecType,L,M,Dist,R,Teff,Z,Binary
HIP 27072,HD 38393,86.1157942,-22.4483855,3.596,F6.5V,2.344228815319922,1.23,8.905,1.28,6313,-0.08,False
HIP 29650,HD 43042,93.7119848,19.1564479,5.2,F5.5IV-V,2.9356210961914226,1.29,21.7763,1.335,6539,0.03,True
HIP 29800,HD 43386,94.1109129,12.2721632,5.04,F5V,2.9566505650829424,1.33,19.5879,1.364,6480,-0.03,False
HIP 32439,HD 46588 A,101.5589581,79.5648107,5.44,F8V,1.8259967490749676,1.18,18.2023,1.17,6204,-0.1,False
HIP 33277,HD 50692,103.8277765,25.3756954,5.763,G0V,1.2933021513395706,1.08,17.4047,1.08,5924,-0.12,False
HIP 34065,HD 53705,105.9888134,-43.608035,5.56,G1.5V,1.4897040552577114,1.04,17.0593,1.213,5790,-0.22,False
HIP 35136,HD 55575,108.9589132,47.2399634,5.559,F9V,1.4628506869998534,1.14,16.8518,1.157,5902,-0.32,False
HIP 36439,HD 58855,112.4831549,49.6724594,5.35,F6V,2.4445560531834256,1.16,20.4021,1.292,6349,-0.28,False
HIP 38908,HD 65907 A,119.4454762,-60.3030719,5.592,F9.5V,1.2900305642179895,1.11,16.1718,1.052,5997,-0.31,False
HIP 40843,HD 69897,125.0160865,27.217705,5.13,F6V,2.4254928571094214,1.25,18.2233,1.32,6269,-0.28,False
