PlanetID,sma,ecc,StarName,Mp_MEarth,M_sol,FinalPosteriorEpoch,NDetectedEpochs
HD 142860_5,0.9193872081016757,0.14999827831700824,HD 142860,8.017,1.25,8,7
HD 142860_5,0.920934433590507,0.16090384499559016,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9214536924637841,0.12859352544310795,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9216897769320982,0.16134317645755816,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9197031903897057,0.13539668021666615,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9208122938526159,0.10768726632690327,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9198878430341039,0.09361703685076138,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9198540613608107,0.1628924038767067,HD 142860,8.017,1.25,8,7
HD 142860_5,0.920129548045853,0.10279089100058844,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9216388946799443,0.14343525787399153,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9197990949869637,0.13127626141246154,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9194972805889129,0.12481756918021046,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9204669464467669,0.07999947665643725,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9198136123871276,0.099924976245269,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9214250324742447,0.13162248269929405,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9207471860561368,0.12898474979723684,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9221550710438394,0.11309632300586654,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9218027914320732,0.14723068887305876,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9206316972588846,0.1369903298230534,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9214852361337873,0.1569618670305809,HD 142860,8.017,1.25,8,7
HD 142860_5,0.920480508005225,0.0907084859494666,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9207686739648606,0.13641252596912312,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9210064825194194,0.16242942241815528,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9218779749862934,0.15143828343566224,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9191819095498157,0.1097653046783321,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9198237552680177,0.12770702059268632,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9201330357594508,0.11623018835050355,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9215575871024347,0.16809774246790923,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9187713539444695,0.09164388078248169,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9213858322963744,0.12507816875536307,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9172741035296261,0.09875537824008483,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9201012089294909,0.08528294481405627,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9210899913083981,0.19453353539084278,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9205861524487261,0.1450841485870022,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9219165838133065,0.1578201279285222,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9192236774657856,0.13802726402239698,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9184000331106515,0.08417883115970455,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9199444034077475,0.13841453573945015,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9221045704435726,0.13617439630534414,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9180075557973568,0.10610682594660484,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9222405226699472,0.18965681096242198,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9222026025946188,0.19135566550310948,HD 142860,8.017,1.25,8,7
HD 142860_5,0.921728110937276,0.15363789454812277,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9218980548212754,0.0974410325878467,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9197026262787895,0.11959958636190854,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9216568830461699,0.14103567862375094,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9204718631691907,0.11535026233835777,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9220428980369831,0.20544224154268292,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9211838400727056,0.1101850472928658,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9205484840124627,0.08373683117103417,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9214558922332753,0.10933421130087792,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9201568676783126,0.09047161517504007,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9217352606585494,0.11754746836591143,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9243462995757781,0.2461018719395354,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9225024393342723,0.12769336290934213,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9206864930300908,0.14747474687930837,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9219747073796872,0.17101535725363157,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9196593508132981,0.1442017633429871,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9182843245364704,0.1015086735119262,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9210918300660245,0.13877962084236006,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9191840448062722,0.11972486513917954,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9198108023624366,0.09586336669493208,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9203751931116401,0.1318047448232654,HD 142860,8.017,1.25,8,7
HD 142860_5,0.921003363934231,0.13581149856660668,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9207828481397519,0.15386655964384757,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9223719864103598,0.142695151163018,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9197542438861908,0.15594290205119846,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9202944459455217,0.17116301895243818,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9205546829339192,0.146728215318116,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9189355872048185,0.11075354894175414,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9173887171597126,0.0881565628782859,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9215709905917326,0.1800615699520993,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9181310182885071,0.12292603503378283,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9187859450633192,0.09059438680933908,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9197442854476873,0.07660594104035968,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9180250782192247,0.10692854360238006,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9200995753206265,0.09007904019624957,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9192574006928025,0.14637849818306142,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9220904995871011,0.1725042261554111,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9192680745269143,0.07869251945714809,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9183614826826373,0.11459193023103002,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9204498364334703,0.11513001554165145,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9197226725132263,0.08912487263154063,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9202805353975521,0.16325881678337656,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9215915780307864,0.10479646662962341,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9213311279918917,0.08734374618523343,HD 142860,8.017,1.25,8,7
HD 142860_5,0.918667253708037,0.09746711382666545,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9197445202573622,0.10849235789486283,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9215549539713701,0.09537536292151196,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9204544341319161,0.11234330825249483,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9211050190004428,0.11845330703276764,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9209600976236757,0.1262503895624465,HD 142860,8.017,1.25,8,7
HD 142860_5,0.921273541947434,0.16873779066687417,HD 142860,8.017,1.25,8,7
HD 142860_5,0.920069433181639,0.1247123640225703,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9195526622032705,0.10430437456017012,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9201315603910195,0.095364732715525,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9215363903379977,0.20554723218929039,HD 142860,8.017,1.25,8,7
