iteration,chain,alpha,beta,gamma,freq,e_alpha,e_beta,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,-1.0468011261572165,-0.6751777156815955,-0.473239062789073,5.067704447507455,3.987439530184473,48.06938598891817,-1223.295336216143,7.0,1.0,0.9229342511493618,-1223.295336216143,1225.9792334567085,-0.1625170591753431,0.21894094192657576,3.0,0.0,0.40481649271985404,0.40481649271985404
502,1,-1.0791326155292786,-0.5966192131183554,-0.05098024607952922,5.17700787592969,4.274366550616049,51.99594084144075,-1223.6003397488166,15.0,1.0,0.8844691023698243,-1223.6003397488166,1225.2216162010925,-0.023897527070403157,0.21265206645011858,3.0,0.0,0.40481649271985404,0.40481649271985404
503,1,-1.0641443915627722,-0.5553001549216372,0.27985496902087625,5.164772133544432,4.213583375041312,49.274205445685844,-1225.5342518828975,7.0,1.0,0.899117446389908,-1225.5342518828975,1226.1846944643244,0.08197836538352021,0.25220224302825045,3.0,0.0,0.40481649271985404,0.40481649271985404
504,1,-1.102651643825066,-0.8255484490503822,-0.19310556632487064,4.97091050221524,4.104693294441432,50.04102655382939,-1227.2807305145786,7.0,1.0,0.5470009980064134,-1227.2807305145786,1231.909513915564,0.6500926154026274,1.3013160049092676,2.0,0.0,0.40481649271985404,0.40481649271985404
505,1,-1.0434331814130555,-0.5518533461361645,-0.5995378240335256,5.046775463934392,3.912465577466911,44.544360803043794,-1224.5048819449182,11.0,1.0,0.991534948816751,-1224.5048819449182,1230.7047061493586,-0.4639894960919264,-0.7895646491570005,3.0,0.0,0.40481649271985404,0.40481649271985404
506,1,-1.0856448444004645,-0.5011957734821841,-0.5178643770275322,5.282129049575756,3.9253089246844732,47.596148990804494,-1223.6211625773349,15.0,1.0,0.9467342520909523,-1223.6211625773349,1225.8151311125198,-0.1402915847982058,-0.2827601724181932,3.0,0.0,0.40481649271985404,0.40481649271985404
507,1,-1.1101176886516377,-0.5820652217554194,-0.02458499905130651,5.997267600569305,4.218196411486543,51.942210014745406,-1224.4678359140196,15.0,1.0,0.9849755825443225,-1224.4678359140196,1226.674561859818,0.04215565776985386,-0.16943543183901966,4.0,0.0,0.40481649271985404,0.40481649271985404
508,1,-1.0830031473484567,-0.643614972275925,-0.12556481950335296,5.060876912229126,4.507091998416773,52.924983418786475,-1223.8972502668792,15.0,1.0,0.5337298209894906,-1223.8972502668792,1226.6732083084298,-0.0756065567859423,1.20736870808787,4.0,0.0,0.40481649271985404,0.40481649271985404
509,1,-1.0761461916241046,-0.7204751900744668,-0.05020306926837925,4.612067624776952,4.190691358487984,45.824010098692305,-1227.5888545289768,15.0,1.0,0.40025005585076523,-1227.5888545289768,1230.4304259789478,1.0044814330710778,2.018721228778759,4.0,0.0,0.40481649271985404,0.40481649271985404
510,1,-1.0411517991373707,-0.4446562900962068,-0.41046349768274837,5.271046714227372,4.499673565600524,50.18359373607365,-1227.938099337196,11.0,1.0,0.9900833077042777,-1227.938099337196,1230.0705087354802,-0.053527062877947174,-1.5124056539643789,3.0,0.0,0.40481649271985404,0.40481649271985404
511,1,-1.1846832249549966,-0.5078870899179702,0.07763225303314591,6.726909469896781,4.077182708525753,49.447652716042526,-1226.7147647449012,15.0,1.0,0.9306420760578467,-1226.7147647449012,1231.9280219764655,-1.3153178529628349,-1.347269573127278,3.0,0.0,0.40481649271985404,0.40481649271985404
512,1,-1.216777320653188,-0.5671893646425588,0.10275706778097593,6.783776261164268,3.986835552952546,48.621785469630105,-1229.4772706302513,3.0,1.0,0.7446080310624786,-1229.4772706302513,1230.363554656162,0.48050158857722636,0.48050158857722636,2.0,0.0,0.40481649271985404,0.40481649271985404
513,1,-0.9846573319344198,-0.7472319630453619,-1.1096638544433741,3.67984928140892,4.292327290078795,50.0829795967458,-1228.794889466445,15.0,1.0,0.7929988745251599,-1228.794889466445,1233.3566000431197,-0.263202498091232,0.8603026050823246,4.0,0.0,0.40481649271985404,0.40481649271985404
514,1,-1.0201157858529886,-0.7071334179302777,-0.3574140287666623,4.942807844000397,4.543508541281398,50.912976763227924,-1225.5278708362484,7.0,1.0,0.4534828473310298,-1225.5278708362484,1232.7466063593265,0.595821987974432,2.192858996292216,3.0,0.0,0.40481649271985404,0.40481649271985404
515,1,-1.042880594437495,-0.7820391980749957,0.11227909259384106,4.572692459545653,4.271713806476885,51.742517941722475,-1226.1842247654345,3.0,1.0,0.8395208695478994,-1226.1842247654345,1229.1013933781196,-0.4458528013835803,0.6566945090482932,2.0,0.0,0.40481649271985404,0.40481649271985404
516,1,-1.0529269031695154,-0.5833896678069852,-0.614390138276514,5.359964064962869,3.931607720517362,47.21342312896603,-1224.5459177458988,7.0,1.0,0.8795954985945027,-1224.5459177458988,1227.360569765409,-0.01865280592005547,0.38127842060976036,3.0,0.0,0.40481649271985404,0.40481649271985404
517,1,-1.083288814454468,-0.7180999554073857,-0.38817402600363415,5.116021218452147,4.030121793305516,46.747405262745154,-1223.5333884432398,11.0,1.0,0.7801995651390876,-1223.5333884432398,1225.8680289118072,-0.26825482478557205,0.6952906360943416,3.0,0.0,0.40481649271985404,0.40481649271985404
518,1,-1.0477596189116625,-0.5676852567718544,-0.3898091960988914,4.343259229714853,4.247054196784217,55.435938060683334,-1227.4158443983415,15.0,1.0,0.4979458263776448,-1227.4158443983415,1228.5409048640993,1.459426305547595,1.9302180208255777,4.0,0.0,0.40481649271985404,0.40481649271985404
519,1,-1.0810593223928464,-0.4624931546070581,-0.5548480234703277,4.318333771569646,4.726655401231016,54.72485545584627,-1226.8107973770145,7.0,1.0,0.8244701352493039,-1226.8107973770145,1230.8354482523075,-0.7184085850851716,-1.1103197578281652,3.0,0.0,0.40481649271985404,0.40481649271985404
520,1,-1.0699455237397757,-0.48552242565055437,-0.5190168200842162,4.416399911187291,4.610746147508592,56.28005733727812,-1225.3554851059137,3.0,1.0,1.0,-1225.3554851059137,1226.7477174878384,-0.379567202614453,-0.379567202614453,2.0,0.0,0.40481649271985404,0.40481649271985404
521,1,-0.9982751751442294,-0.5861928623299395,-0.6904515609702795,4.248481564758231,4.694104352510225,56.969224221464515,-1226.1378687326826,7.0,1.0,0.9752042508910109,-1226.1378687326826,1228.0155919302126,-0.007881590947135919,-0.08829362987194145,3.0,0.0,0.40481649271985404,0.40481649271985404
522,1,-1.1114293015148533,-0.5263631949734702,0.0359037451068378,6.658091442924141,4.50521791565235,54.94901470503425,-1227.0632936983793,15.0,1.0,0.901288237573425,-1227.0632936983793,1229.0660921320334,0.255417807548838,0.26411994988484366,4.0,0.0,0.40481649271985404,0.40481649271985404
523,1,-1.1130826877240025,-0.39797096184862113,-0.35181737691045534,6.4377826867764,3.9672505162999108,45.14587814500363,-1227.486041918554,15.0,1.0,0.9303915626175595,-1227.486041918554,1231.5342111505302,0.2222144457871309,-0.4525107163465236,4.0,0.0,0.40481649271985404,0.40481649271985404
524,1,-1.2029926862786908,-0.4298652045699036,-0.4006865118688179,5.466642892973714,3.661948923187706,44.22662784057523,-1229.1513898282387,3.0,1.0,0.8630391313341864,-1229.1513898282387,1230.5730368192822,0.31916573505509405,-0.5905384863540348,2.0,0.0,0.40481649271985404,0.40481649271985404
525,1,-1.0929835637425107,-0.5338821934797906,-0.3451550871736462,4.412826712800925,4.9801004207937645,59.50681326646269,-1227.9661530950925,15.0,1.0,0.9838443308012716,-1227.9661530950925,1233.7276673478084,-0.5261068166253153,-0.9879410295880007,4.0,0.0,0.40481649271985404,0.40481649271985404
526,1,-1.102713153965908,-0.6356999801682637,-0.5371066659434351,6.0223556927575,4.332684318169133,49.2761960817494,-1225.328335092895,23.0,1.0,0.8326940143868388,-1225.328335092895,1229.0821838660934,-0.18165463718969477,1.1962912366134333,4.0,0.0,0.40481649271985404,0.40481649271985404
527,1,-1.0315751113104525,-0.5879030233494138,-0.8720518904914094,4.063185047186847,4.3067070468426945,48.66240206565995,-1225.9157705340556,15.0,1.0,0.9897213051330518,-1225.9157705340556,1228.6072548083355,0.0290715251412621,-0.36572007805557405,3.0,0.0,0.40481649271985404,0.40481649271985404
528,1,-1.0755172381366247,-0.4334262464390921,-0.8643371572203247,4.682788404258689,4.077183296080573,46.22498490097358,-1224.8824021996093,7.0,1.0,0.6695508791960866,-1224.8824021996093,1228.4345822335333,-0.3403922356367275,1.052651316800393,3.0,0.0,0.40481649271985404,0.40481649271985404
529,1,-1.066644492633909,-0.4094544174057475,-0.7889741307225488,4.699316914209069,4.0667674783652314,48.40787691338908,-1224.5846099274256,15.0,1.0,0.9981952205044331,-1224.5846099274256,1225.4511831963946,-0.19866378343658653,-0.28182685106935423,3.0,0.0,0.40481649271985404,0.40481649271985404
