PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 72905_0,HD 72905,1.629,0.2,1.0,1.273,14.439,1.08,0.973,0.093236,154.066629,1.350736,0.360143,1,1,1,2035.0
HD 72905_0,HD 72905,1.629,0.2,1.0,1.273,14.439,1.08,0.973,0.077279,331.190468,1.92194,0.83847,1,2,2,2035.686945
HD 72905_0,HD 72905,1.629,0.2,1.0,1.273,14.439,1.08,0.973,0.080564,335.816141,1.632647,0.049669,0,2,3,2036.419095
HD 72905_0,HD 72905,1.629,0.2,1.0,1.273,14.439,1.08,0.973,0.085039,155.098916,1.441289,0.624873,1,3,4,2037.111519
HD 72905_0,HD 72905,1.629,0.2,1.0,1.273,14.439,1.08,0.973,0.128996,334.006812,1.864988,0.293285,1,4,5,2038.145039
HD 72905_0,HD 72905,1.629,0.2,1.0,1.273,14.439,1.08,0.973,0.083823,153.117609,1.307224,0.152398,1,5,6,2038.899107
HD 72905_0,HD 72905,1.629,0.2,1.0,1.273,14.439,1.08,0.973,0.12412,333.085467,1.947079,0.538394,1,6,7,2039.942216
HD 72905_0,HD 72905,1.629,0.2,1.0,1.273,14.439,1.08,0.973,0.074254,152.569314,1.303267,0.087033,1,7,8,2040.853818
