PlanetID,StarName,M_sol,L_sol,SMA_AU,Mp_MEarth,Rp_REarth,ecc,NDet,P_yr,HZ
HD 100623 A_0,HD 100623 A,0.88,0.37,4.014,8.448,2.503,0.105,36,8.573,False
HD 100623 A_3,HD 100623 A,0.88,0.37,4.384,2.214,1.441,0.075,36,9.785,False
HD 100623 A_4,HD 100623 A,0.88,0.37,2.524,0.613,0.66,0.072,1,4.275,False
HD 100623 A_5,HD 100623 A,0.88,0.37,4.18,0.337,0.734,0.038,21,9.11,False
HD 100623 A_7,HD 100623 A,0.88,0.37,4.073,1.972,1.365,0.068,15,8.763,False
HD 101501_7,HD 101501,0.94,0.609,0.888,0.333,0.887,0.054,13,0.863,True
HD 102365_0,HD 102365,1.02,0.844,1.154,11.472,2.235,0.024,36,1.227,True
HD 10360_2,HD 10360,0.78,0.345,3.873,7.34,2.182,0.13,36,8.63,False
HD 10360_5,HD 10360,0.78,0.345,2.33,0.17,0.679,0.067,36,4.027,False
HD 10361_1,HD 10361,0.77,0.304,0.761,2.715,1.303,0.025,9,0.757,True
HD 10361_2,HD 10361,0.77,0.304,0.985,0.596,0.785,0.066,24,1.114,False
HD 10361_3,HD 10361,0.77,0.304,1.525,0.784,0.586,0.07,36,2.146,False
HD 10700_0,HD 10700,0.94,0.506,1.625,0.087,0.563,0.099,36,2.137,False
HD 10780_0,HD 10780,0.9,0.516,0.841,1.181,1.077,0.11,17,0.813,True
HD 10780_3,HD 10780,0.9,0.516,2.25,1.367,1.348,0.098,27,3.558,False
HD 10780_4,HD 10780,0.9,0.516,2.669,12.001,2.513,0.102,36,4.596,False
HD 109358_4,HD 109358,1.08,1.151,1.488,0.237,0.58,0.078,33,1.747,True
HD 109358_5,HD 109358,1.08,1.151,3.968,25.806,3.285,0.05,21,7.606,False
HD 114710_0,HD 114710,1.11,1.357,1.415,0.147,0.681,0.117,30,1.598,True
HD 114710_2,HD 114710,1.11,1.357,2.258,0.173,0.683,0.018,6,3.221,False
HD 114710_4,HD 114710,1.11,1.357,0.861,0.439,0.898,0.053,24,0.758,False
HD 115617_0,HD 115617,0.97,0.825,1.956,1.017,0.732,0.004,36,2.778,False
HD 115617_1,HD 115617,0.97,0.825,0.76,6.157,2.931,0.09,13,0.673,True
HD 115617_4,HD 115617,0.97,0.825,2.599,0.174,0.763,0.104,27,4.254,False
HD 115617_5,HD 115617,0.97,0.825,2.098,3.177,1.487,0.045,36,3.085,False
HD 115617_6,HD 115617,0.97,0.825,3.003,0.936,0.942,0.084,3,5.284,False
HD 128167_0,HD 128167,1.39,3.182,1.283,1.29,1.15,0.14,5,1.233,False
HD 128167_2,HD 128167,1.39,3.182,3.433,2.483,1.328,0.063,36,5.395,False
HD 128167_3,HD 128167,1.39,3.182,4.878,5.678,2.132,0.117,36,9.138,False
HD 128167_4,HD 128167,1.39,3.182,1.323,2.477,1.923,0.044,7,1.291,False
HD 128620_0,HD 128620,1.11,1.521,1.567,0.738,0.945,0.074,11,1.862,True
HD 128620_1,HD 128620,1.11,1.521,1.266,6.221,1.198,0.016,36,1.352,True
HD 128621_0,HD 128621,0.94,0.503,0.181,0.281,0.591,0.076,27,0.079,False
HD 128621_4,HD 128621,0.94,0.503,1.135,1.502,1.179,0.055,36,1.247,True
HD 131156 A_0,HD 131156 A,0.96,0.553,0.922,6.027,2.426,0.01,36,0.904,True
HD 131156 A_1,HD 131156 A,0.96,0.553,1.097,4.971,1.932,0.147,36,1.173,True
HD 131977_0,HD 131977,0.72,0.223,2.114,3.47,1.305,0.033,36,3.622,False
HD 136352_0,HD 136352,1.02,1.029,1.127,0.05,0.501,0.083,7,1.185,True
HD 136352_3,HD 136352,1.02,1.029,3.774,4.78,2.041,0.069,36,7.259,False
HD 136352_4,HD 136352,1.02,1.029,1.831,0.342,0.826,0.068,36,2.453,False
HD 140538 A_0,HD 140538 A,0.94,0.834,2.088,0.069,0.685,0.047,15,3.112,False
HD 140538 A_2,HD 140538 A,0.94,0.834,4.137,0.304,0.916,0.053,36,8.679,False
HD 141004_0,HD 141004,1.09,2.004,2.629,8.518,2.901,0.092,29,4.083,False
