PlanetID,StarName,M_sol,L_sol,SMA_AU,Mp_MEarth,Rp_REarth,ecc,NDet,P_yr,HZ
HD 141004_2,HD 141004,1.09,2.004,4.426,2.941,1.019,0.098,26,8.919,False
HD 141004_4,HD 141004,1.09,2.004,3.163,4.206,1.732,0.091,36,5.388,False
HD 142373_0,HD 142373,1.08,3.136,1.268,0.148,0.757,0.168,4,1.374,False
HD 142373_1,HD 142373,1.08,3.136,1.76,0.535,0.868,0.092,36,2.247,True
HD 142373_7,HD 142373,1.08,3.136,1.878,6.816,2.611,0.051,20,2.476,True
HD 142373_8,HD 142373,1.08,3.136,3.092,7.326,1.805,0.053,36,5.232,False
HD 142860_2,HD 142860,1.25,3.039,3.184,0.989,1.146,0.073,36,5.082,False
HD 142860_5,HD 142860,1.25,3.039,0.92,8.017,2.443,0.074,7,0.789,False
HD 143761_0,HD 143761,0.97,1.812,2.268,0.131,0.622,0.052,18,3.468,False
HD 143761_7,HD 143761,0.97,1.812,2.609,12.289,2.154,0.089,24,4.279,False
HD 147513_0,HD 147513,1.07,1.001,1.541,0.152,0.645,0.04,36,1.849,True
HD 147513_1,HD 147513,1.07,1.001,1.513,0.038,0.537,0.099,36,1.799,True
HD 147513_2,HD 147513,1.07,1.001,4.633,7.403,1.379,0.075,36,9.641,False
HD 147513_6,HD 147513,1.07,1.001,1.743,2.912,1.796,0.075,36,2.225,False
HD 147513_7,HD 147513,1.07,1.001,2.47,0.174,0.667,0.028,27,3.753,False
HD 149661_2,HD 149661,0.87,0.462,2.991,2.935,1.285,0.073,30,5.546,False
HD 149661_3,HD 149661,0.87,0.462,2.364,0.315,0.7,0.065,3,3.897,False
HD 149661_5,HD 149661,0.87,0.462,3.155,7.428,2.936,0.051,35,6.008,False
HD 155885_4,HD 155885,0.85,0.332,2.293,0.685,0.991,0.052,33,3.766,False
HD 155886_1,HD 155886,0.85,0.327,0.511,0.549,0.698,0.064,25,0.396,True
HD 155886_3,HD 155886,0.85,0.327,1.253,7.774,2.915,0.044,36,1.521,False
HD 155886_7,HD 155886,0.85,0.327,0.59,16.163,3.352,0.079,36,0.492,True
HD 155886_8,HD 155886,0.85,0.327,3.879,16.445,2.635,0.087,36,8.286,False
HD 156026_0,HD 156026,0.68,0.158,3.18,14.895,3.171,0.093,36,6.877,False
HD 156026_3,HD 156026,0.68,0.158,1.001,7.224,2.318,0.06,36,1.214,False
HD 156026_5,HD 156026,0.68,0.158,1.693,9.407,2.972,0.124,36,2.671,False
HD 156274 A_3,HD 156274 A,0.9,0.452,4.433,3.519,1.608,0.138,21,9.838,False
HD 1581_1,HD 1581,1.11,1.262,1.541,10.663,2.633,0.046,36,1.816,True
HD 1581_3,HD 1581,1.11,1.262,1.491,10.6,2.76,0.126,25,1.728,True
HD 160691_0,HD 160691,1.0,1.899,1.46,0.675,0.67,0.051,13,1.764,True
HD 160691_4,HD 160691,1.0,1.899,2.415,2.687,1.777,0.073,27,3.753,False
HD 160691_6,HD 160691,1.0,1.899,2.937,6.338,2.424,0.058,28,5.033,False
HD 160691_7,HD 160691,1.0,1.899,3.23,5.354,2.375,0.098,18,5.805,False
HD 165341 A_0,HD 165341 A,0.88,0.532,3.482,2.775,1.359,0.036,1,6.926,False
HD 165341 A_3,HD 165341 A,0.88,0.532,0.642,1.833,1.615,0.027,21,0.548,True
HD 165341 B_1,HD 165341 B,0.78,0.164,1.256,0.053,0.5,0.089,28,1.594,False
HD 165341 B_2,HD 165341 B,0.78,0.164,4.082,0.85,1.247,0.042,3,9.338,False
HD 165341 B_4,HD 165341 B,0.78,0.164,0.76,2.374,1.137,0.117,27,0.75,False
HD 165499_4,HD 165499,1.08,1.731,1.569,24.497,3.377,0.062,11,1.891,True
HD 166_0,HD 166,0.94,0.647,1.592,2.182,1.08,0.09,26,2.072,False
HD 16895 A_0,HD 16895 A,1.21,2.246,3.595,7.544,2.816,0.047,36,6.197,False
HD 16895 A_5,HD 16895 A,1.21,2.246,1.554,9.969,3.144,0.05,36,1.761,True
HD 17051_0,HD 17051,1.14,1.737,1.593,0.166,0.8,0.055,13,1.883,True
HD 17051_1,HD 17051,1.14,1.737,2.146,0.971,1.035,0.107,18,2.944,False
HD 17051_2,HD 17051,1.14,1.737,4.311,2.591,1.302,0.108,30,8.383,False
HD 17206_0,HD 17206,1.21,2.617,1.742,1.25,0.885,0.09,36,2.09,True
HD 17925_0,HD 17925,0.82,0.401,1.472,0.068,0.676,0.037,36,1.972,False
HD 17925_4,HD 17925,0.82,0.401,0.848,1.901,1.424,0.062,7,0.862,True
HD 17925_6,HD 17925,0.82,0.401,3.618,0.216,0.719,0.076,8,7.6,False
HD 185144_1,HD 185144,0.87,0.434,0.747,0.019,0.5,0.07,20,0.692,True
HD 185144_3,HD 185144,0.87,0.434,0.688,4.389,2.317,0.135,22,0.612,True
HD 187691 A_0,HD 187691 A,1.25,2.835,3.127,4.454,1.475,0.076,36,4.946,False
HD 187691 A_1,HD 187691 A,1.25,2.835,2.61,1.386,1.018,0.091,23,3.771,True
HD 187691 A_2,HD 187691 A,1.25,2.835,3.249,1.364,0.764,0.037,33,5.238,False
HD 187691 A_3,HD 187691 A,1.25,2.835,2.018,10.557,2.654,0.038,16,2.564,True
HD 190248_1,HD 190248,0.94,1.25,1.11,3.629,1.408,0.055,36,1.206,True
HD 190248_2,HD 190248,0.94,1.25,3.754,1.24,1.017,0.072,21,7.502,False
HD 190248_3,HD 190248,0.94,1.25,1.406,0.568,0.51,0.139,8,1.72,True
HD 190360_1,HD 190360,0.96,1.165,3.764,1.582,1.071,0.081,30,7.453,False
HD 190360_3,HD 190360,0.96,1.165,3.632,10.267,2.733,0.139,36,7.065,False
HD 190360_4,HD 190360,0.96,1.165,1.735,0.045,0.534,0.021,18,2.332,True
HD 192310_0,HD 192310,0.77,0.404,1.267,0.14,0.641,0.07,24,1.625,False
HD 192310_1,HD 192310,0.77,0.404,1.472,7.674,2.73,0.082,36,2.035,False
HD 19373_7,HD 19373,1.08,2.23,2.87,2.945,1.622,0.048,36,4.679,False
HD 201091_1,HD 201091,0.68,0.142,1.051,0.293,0.699,0.108,36,1.307,False
HD 201091_2,HD 201091,0.68,0.142,2.964,0.359,0.94,0.153,15,6.188,False
HD 201091_4,HD 201091,0.68,0.142,2.241,8.159,3.013,0.067,28,4.068,False
HD 201092_1,HD 201092,0.63,0.078,2.708,8.514,2.37,0.059,36,5.614,False
HD 202560_0,HD 202560,0.59,0.083,0.846,2.013,1.59,0.075,36,1.013,False
HD 202560_1,HD 202560,0.59,0.083,0.552,0.125,0.674,0.052,36,0.534,False
HD 202560_3,HD 202560,0.59,0.083,0.867,3.604,1.589,0.117,36,1.051,False
HD 202560_4,HD 202560,0.59,0.083,2.302,0.251,0.558,0.14,10,4.547,False
HD 202560_6,HD 202560,0.59,0.083,0.414,0.225,0.785,0.085,36,0.347,True
HD 203608_0,HD 203608,1.14,1.466,2.203,3.488,1.79,0.092,36,3.062,False
HD 203608_1,HD 203608,1.14,1.466,2.342,0.104,0.502,0.1,18,3.357,False
HD 203608_2,HD 203608,1.14,1.466,2.74,1.189,1.086,0.062,30,4.248,False
HD 20630_5,HD 20630,0.98,0.857,1.387,0.63,0.621,0.083,36,1.65,True
HD 20766_0,HD 20766,1.01,0.794,1.336,3.092,1.674,0.161,30,1.537,True
HD 20766_4,HD 20766,1.01,0.794,1.915,0.441,0.912,0.031,19,2.637,False
HD 20794_0,HD 20794,0.97,0.654,4.322,5.742,2.962,0.17,15,9.123,False
HD 20794_1,HD 20794,0.97,0.654,2.398,2.525,1.302,0.095,28,3.77,False
HD 20807_1,HD 20807,1.07,1.017,1.546,0.846,0.954,0.069,30,1.858,True
HD 20807_2,HD 20807,1.07,1.017,2.979,8.298,2.038,0.055,14,4.971,False
HD 209100_0,HD 209100,0.72,0.222,2.433,0.078,0.524,0.127,21,4.472,False
HD 209100_1,HD 209100,0.72,0.222,1.218,0.224,0.54,0.094,32,1.584,False
HD 209100_11,HD 209100,0.72,0.222,0.917,2.417,1.174,0.107,36,1.035,False
HD 209100_2,HD 209100,0.72,0.222,0.989,7.679,1.925,0.073,36,1.159,False
HD 209100_4,HD 209100,0.72,0.222,3.542,11.464,2.632,0.022,36,7.856,False
HD 209100_5,HD 209100,0.72,0.222,0.635,0.965,0.931,0.076,36,0.596,True
HD 209100_6,HD 209100,0.72,0.222,1.701,1.719,0.885,0.082,15,2.615,False
HD 209100_8,HD 209100,0.72,0.222,2.097,10.973,2.488,0.099,36,3.579,False
HD 209100_9,HD 209100,0.72,0.222,0.782,6.298,2.297,0.071,36,0.815,False
HD 210302_4,HD 210302,1.25,2.918,1.629,5.061,1.727,0.122,11,1.86,True
HD 212330 A_0,HD 212330 A,1.02,2.726,1.747,9.208,3.281,0.031,11,2.286,True
HD 216803_1,HD 216803,0.72,0.196,3.539,5.879,2.035,0.087,36,7.846,False
HD 216803_4,HD 216803,0.72,0.196,2.738,12.08,2.631,0.038,36,5.339,False
HD 217987_0,HD 217987,0.49,0.036,3.278,17.272,3.1,0.032,35,8.478,False
HD 219134_0,HD 219134,0.75,0.266,1.298,11.197,3.021,0.068,36,1.708,False
HD 219134_3,HD 219134,0.75,0.266,2.999,4.52,1.913,0.067,36,5.997,False
HD 219134_5,HD 219134,0.75,0.266,1.823,4.144,1.09,0.052,36,2.842,False
HD 219134_7,HD 219134,0.75,0.266,0.986,3.449,2.277,0.056,36,1.131,False
HD 22484_7,HD 22484,1.14,3.068,3.201,1.501,0.943,0.074,36,5.364,False
HD 23249_0,HD 23249,0.87,2.941,2.38,0.586,0.804,0.039,30,3.936,True
HD 23249_1,HD 23249,0.87,2.941,2.348,3.029,1.487,0.031,10,3.857,True
HD 26965 A_1,HD 26965 A,0.86,0.41,0.482,2.403,1.38,0.058,14,0.361,False
HD 30495_0,HD 30495,1.04,0.966,1.934,1.288,0.989,0.08,31,2.637,False
HD 30495_3,HD 30495,1.04,0.966,1.848,0.48,0.623,0.089,14,2.463,False
HD 30652_1,HD 30652,1.25,2.71,3.379,9.159,2.314,0.099,9,5.556,False
HD 30652_2,HD 30652,1.25,2.71,1.418,7.047,1.563,0.081,36,1.51,True
HD 30652_3,HD 30652,1.25,2.71,3.27,5.731,2.129,0.133,36,5.289,False
HD 30652_4,HD 30652,1.25,2.71,2.754,10.16,2.49,0.119,36,4.088,False
HD 32147_2,HD 32147,0.75,0.29,3.272,2.786,1.942,0.062,36,6.834,False
HD 33262 A_1,HD 33262 A,1.14,1.466,3.3,1.583,1.368,0.062,6,5.615,False
HD 33262 A_2,HD 33262 A,1.14,1.466,3.337,0.502,0.965,0.087,6,5.709,False
HD 33262 A_4,HD 33262 A,1.14,1.466,1.015,9.306,2.255,0.091,15,0.958,True
HD 33262 A_6,HD 33262 A,1.14,1.466,0.874,0.257,0.646,0.139,1,0.765,False
HD 34411_1,HD 34411,1.08,1.732,1.539,0.713,0.897,0.078,22,1.837,True
HD 34411_3,HD 34411,1.08,1.732,1.691,0.808,0.798,0.074,34,2.116,True
HD 3651 A_0,HD 3651 A,0.86,0.532,0.818,0.195,1.086,0.09,6,0.798,True
HD 37394_0,HD 37394,0.88,0.478,1.839,0.164,0.552,0.051,14,2.658,False
HD 37394_11,HD 37394,0.88,0.478,1.171,5.91,2.415,0.065,36,1.351,False
HD 37394_16,HD 37394,0.88,0.478,2.623,9.008,2.621,0.055,31,4.529,False
HD 37394_3,HD 37394,0.88,0.478,1.245,2.038,1.502,0.044,14,1.481,False
HD 39091_1,HD 39091,1.08,1.533,3.12,1.952,1.191,0.028,10,5.303,False
HD 39091_2,HD 39091,1.08,1.533,2.865,0.089,0.677,0.029,10,4.666,False
HD 39091_3,HD 39091,1.08,1.533,3.55,0.919,1.069,0.072,36,6.436,False
HD 39091_4,HD 39091,1.08,1.533,4.534,1.811,1.234,0.027,33,9.29,False
HD 39091_5,HD 39091,1.08,1.533,1.437,1.974,1.31,0.051,10,1.658,True
HD 43042_0,HD 43042,1.29,2.936,4.095,0.185,0.558,0.078,6,7.296,False
HD 43386_0,HD 43386,1.33,2.957,2.541,0.177,0.504,0.037,7,3.512,True
HD 4391_1,HD 4391,0.98,0.923,1.544,0.159,0.614,0.114,11,1.938,False
HD 4614 A_1,HD 4614 A,1.14,1.252,0.651,0.235,0.728,0.133,6,0.492,False
HD 4614 A_2,HD 4614 A,1.14,1.252,2.584,2.842,1.361,0.017,36,3.89,False
HD 4628_4,HD 4628,0.78,0.3,4.069,0.876,0.981,0.034,36,9.294,False
HD 4628_5,HD 4628,0.78,0.3,3.681,0.617,0.897,0.025,15,7.997,False
HD 4628_6,HD 4628,0.78,0.3,1.476,4.324,1.942,0.055,30,2.03,False
HD 46588 A_0,HD 46588 A,1.18,1.826,1.961,5.123,1.375,0.092,36,2.528,True
HD 46588 A_8,HD 46588 A,1.18,1.826,2.008,0.08,0.521,0.017,10,2.619,True
HD 50692_0,HD 50692,1.08,1.293,3.95,10.297,2.831,0.04,36,7.554,False
HD 53705_1,HD 53705,1.04,1.49,2.604,16.05,3.306,0.083,36,4.12,False
HD 53705_2,HD 53705,1.04,1.49,1.597,13.971,2.478,0.089,14,1.979,True
HD 58855_0,HD 58855,1.16,2.445,3.917,11.124,2.746,0.055,31,7.198,False
HD 58855_4,HD 58855,1.16,2.445,1.787,0.101,0.53,0.062,1,2.218,True
HD 58855_5,HD 58855,1.16,2.445,2.753,0.361,0.74,0.078,12,4.241,False
HD 58855_6,HD 58855,1.16,2.445,3.408,0.197,0.67,0.008,1,5.841,False
HD 58855_8,HD 58855,1.16,2.445,3.679,3.725,1.665,0.02,21,6.552,False
HD 65907 A_1,HD 65907 A,1.11,1.29,1.316,3.131,0.982,0.075,8,1.433,True
HD 693_4,HD 693,1.18,2.997,1.744,2.348,1.392,0.105,15,2.12,True
HD 693_5,HD 693,1.18,2.997,2.909,2.794,1.423,0.1,10,4.567,False
HD 693_6,HD 693,1.18,2.997,2.914,0.316,0.574,0.024,17,4.579,True
HD 693_7,HD 693,1.18,2.997,3.93,5.004,2.298,0.01,21,7.172,False
HD 72905_5,HD 72905,1.08,0.973,3.175,0.068,0.525,0.086,3,5.444,False
HD 7570_0,HD 7570,1.14,2.004,3.031,3.652,1.134,0.054,14,4.942,False
HD 7570_2,HD 7570,1.14,2.004,1.977,3.716,1.73,0.063,27,2.603,True
HD 7570_3,HD 7570,1.14,2.004,3.034,1.913,1.364,0.079,36,4.95,False
HD 84117_3,HD 84117,1.14,1.977,2.469,0.157,0.583,0.127,5,3.634,False
HD 84117_5,HD 84117,1.14,1.977,2.421,0.239,0.605,0.095,35,3.528,False
HD 84737_1,HD 84737,1.08,2.795,3.025,1.926,1.189,0.071,26,5.063,False
HD 84737_3,HD 84737,1.08,2.795,3.774,0.848,0.833,0.025,8,7.055,False
HD 86728 A_2,HD 86728 A,1.0,1.378,1.586,0.367,0.736,0.024,28,1.997,True
HD 86728 A_4,HD 86728 A,1.0,1.378,3.143,16.709,2.985,0.15,36,5.572,False
HD 86728 A_6,HD 86728 A,1.0,1.378,2.84,3.621,2.462,0.137,36,4.786,False
HD 88230_0,HD 88230,0.63,0.103,1.858,3.961,1.413,0.024,36,3.191,False
HD 88230_2,HD 88230,0.63,0.103,0.941,0.079,0.511,0.058,24,1.15,False
HD 88230_3,HD 88230,0.63,0.103,1.397,3.057,1.541,0.055,36,2.08,False
HD 88230_4,HD 88230,0.63,0.103,0.683,0.221,0.831,0.12,21,0.711,False
HD 88230_5,HD 88230,0.63,0.103,2.552,2.912,1.594,0.09,36,5.136,False
HD 90839_2,HD 90839,1.18,1.605,3.378,1.619,1.125,0.112,36,5.715,False
HD 95128_1,HD 95128,1.07,1.577,2.285,0.282,0.586,0.074,8,3.339,False
HD 95128_4,HD 95128,1.07,1.577,2.15,6.511,1.218,0.173,13,3.048,False
HD 95735_0,HD 95735,0.44,0.02,0.673,1.876,0.901,0.041,36,0.832,False
HD 95735_2,HD 95735,0.44,0.02,0.392,0.252,0.638,0.078,25,0.37,False
HD 95735_4,HD 95735,0.44,0.02,2.481,2.402,1.454,0.023,35,5.891,False
