iteration,chain,alpha,beta,gamma,freq,e_alpha,e_beta,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,-1.4412485147460625,-0.5939793977678018,-0.24838035812563852,3.9238434101653126,3.617193588881698,42.16367637423543,-281.32726567590333,15.0,1.0,0.8173439089621165,-281.32726567590333,283.7973879371847,0.3490569754715125,0.43172030391758653,3.0,0.0,0.2919151922876956,0.2919151922876956
502,1,-1.5177513661937265,-0.6175147739946283,-0.24534106005198275,4.045042027308827,3.7147142149492414,43.380226336349466,-281.5776753829522,15.0,1.0,0.9173956547391121,-281.5776753829522,283.41246256311445,-0.005896330962798402,-0.3616791854429948,4.0,0.0,0.2919151922876956,0.2919151922876956
503,1,-1.361048852261753,-0.49507510003029154,-0.20441530364435678,3.1739326099241243,2.8149176911704195,41.11734680457602,-284.6560435991692,15.0,1.0,0.7205322157536962,-284.6560435991692,286.38983414913565,0.7676080031230299,0.9536088189562975,4.0,0.0,0.2919151922876956,0.2919151922876956
504,1,-0.9970004513186446,-0.8621593020739731,-0.6266514739724922,3.721467552203899,4.2514358252362126,47.28770990232655,-283.63646567679655,15.0,1.0,1.0,-283.63646567679655,286.3045584852539,-0.038624742184083516,-1.045581503354299,4.0,0.0,0.2919151922876956,0.2919151922876956
505,1,-0.9925430911111146,-0.8499253654569916,-0.5047036958726903,3.6313145449215845,3.5758927666782787,52.16087439547495,-283.3305746004312,7.0,1.0,0.9853256057731422,-283.3305746004312,283.9874492109656,0.044584751980323745,-1.0648050607517803,3.0,0.0,0.2919151922876956,0.2919151922876956
506,1,-1.3085040268352781,-0.5599467608250315,-0.38507611417161236,3.1395955145951966,5.656823036427028,74.35683876460064,-283.4853113663809,15.0,1.0,0.9958222672958861,-283.4853113663809,285.81902672300515,-0.8720481868327852,-1.0254263158638537,4.0,0.0,0.2919151922876956,0.2919151922876956
507,1,-1.2413658030041024,-0.7008241896418443,-0.48920737377643064,3.485115263019113,2.7518786391011933,39.241603763848246,-281.9917175554912,15.0,1.0,0.8011947872315911,-281.9917175554912,289.7951305247623,0.43636665246930306,0.589181274206851,3.0,0.0,0.2919151922876956,0.2919151922876956
508,1,-1.302777593054449,-0.6420380498174811,0.2066723450181822,3.688892622846892,5.541930735061527,63.455336031304334,-284.0852384698724,15.0,1.0,0.9478488360602024,-284.0852384698724,286.05015255989036,-0.022441063812607354,-0.6360002635726119,4.0,0.0,0.2919151922876956,0.2919151922876956
509,1,-1.3376426599979734,-0.6493655554225182,0.33952118502615924,3.8210038761846583,5.1113658880024495,70.80690246483847,-284.67091125310765,7.0,1.0,1.0,-284.67091125310765,284.967706404348,-0.014743347895716852,-0.5564485241908983,3.0,0.0,0.2919151922876956,0.2919151922876956
510,1,-1.195119703640282,-0.8233767697258614,-0.44767972173719883,3.937524388448376,4.159910702264712,50.08343697226942,-280.8970267528887,15.0,1.0,0.9931792345792883,-280.8970267528887,284.7217780261796,-0.5076809786573335,-0.6561298426838675,4.0,0.0,0.2919151922876956,0.2919151922876956
511,1,-1.3621742067833118,-0.692766978540714,-0.6914344299202337,3.2381024796147067,4.253377695128799,51.62156982213338,-281.02856359727235,15.0,1.0,0.972771400526343,-281.02856359727235,283.82334515227336,-0.007614926667031341,-0.13207987190713766,3.0,0.0,0.2919151922876956,0.2919151922876956
512,1,-1.3196963297510536,-0.5108458170038652,-0.17899461282953055,3.707670187228473,3.7127422186226706,44.90980036453531,-281.65430994927823,15.0,1.0,0.65509354465613,-281.65430994927823,283.467775981995,-0.007131354178625315,1.035700829657685,4.0,0.0,0.2919151922876956,0.2919151922876956
513,1,-1.632134118846075,-0.4823641179990279,-0.38136508432852523,3.513861917056921,3.7967518035390277,44.789655593503106,-282.753878985493,7.0,1.0,0.8053550735665505,-282.753878985493,284.37856557457917,0.15177369289358467,0.4059200497583788,3.0,0.0,0.2919151922876956,0.2919151922876956
514,1,-1.2918944348949264,-0.727991158480032,-0.29914227582702857,3.626740300360623,4.157889898501297,49.24727899616851,-280.2965257858623,23.0,1.0,0.9082988596982224,-280.2965257858623,283.695799124009,-0.09339711931704642,0.4277602285090438,4.0,0.0,0.2919151922876956,0.2919151922876956
515,1,-1.2395665845874237,-0.6662186458959081,-0.2961270043624804,3.497356851227046,3.5239249041574014,43.366997637997166,-279.58790162547075,15.0,1.0,0.9582408822372389,-279.58790162547075,281.0539362640011,-0.26334163674431466,-0.2810701048085775,3.0,0.0,0.2919151922876956,0.2919151922876956
516,1,-1.1620799481938864,-0.6710073823994929,-0.7378817943514946,3.4360684827522503,3.5147525590850313,44.70236410198992,-280.0655359020798,15.0,1.0,0.5204210634149213,-280.0655359020798,283.5240452121797,-0.00793287296158951,1.3895464849219366,3.0,0.0,0.2919151922876956,0.2919151922876956
517,1,-1.2784454376104915,-0.715205963067362,-0.8047179309912362,3.42200963860719,3.4758146911711907,43.19998744606122,-280.3677483447337,7.0,1.0,0.8354378620383999,-280.3677483447337,281.310405233567,0.011009796557630125,0.33079320296741344,3.0,0.0,0.2919151922876956,0.2919151922876956
518,1,-1.042842079490244,-0.682962446772672,-0.8947456988290821,3.019889099342645,4.483178858409448,54.95072972067354,-281.43578670163447,15.0,1.0,0.9738857656376979,-281.43578670163447,282.7427507174048,0.05198219754583988,0.06655207969413368,4.0,0.0,0.2919151922876956,0.2919151922876956
