PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,PlanetContrast,tReq_s,tReq_hr,Cp_e_s,Cb_e_s,Csp_e_s,DetStatus_Ideal,DetStatus_ETC_3hr,DetStatus_ETC_12hr,DetStatus_ETC_24hr,DetStatus,NDet,NObs,LastObs
HD 102365_2,HD 102365,0.113,0.031,0.976,0.303,9.319,1.02,0.844,,,0.11397,0.582924,2.7601663608787216e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.623984
HD 155886_1,HD 155886,0.511,0.064,0.698,0.549,5.952,0.85,0.327,0.0781,64.718862,0.478362,0.508425,6.125352323417466e-10,347.2370564711031,0.09645473790863975,0.3443903895441828,0.4954872588930415,0.0013268812943225694,1,1,1,1,1,3,3,2035.633746
HD 155886_2,HD 155886,0.232,0.069,1.589,4.704,5.952,0.85,0.327,,,0.224934,0.101811,3.759626346098281e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.633746
HD 155886_3,HD 155886,1.253,0.044,2.915,7.774,5.952,0.85,0.327,0.189406,23.487674,1.286565,0.115629,4.510717709412914e-10,288.5746177061546,0.08015961602948739,0.3511939486713475,0.3750937240884755,0.0005242577289587961,1,1,1,1,1,3,3,2035.633746
HD 155886_4,HD 155886,0.305,0.028,0.94,0.937,5.952,0.85,0.327,,,0.312522,0.549426,3.5969054628328134e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.633746
HD 155886_5,HD 155886,0.201,0.128,1.339,2.779,5.952,0.85,0.327,,,0.226663,0.070644,1.600705583415662e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.633746
HD 155886_6,HD 155886,0.316,0.044,0.948,1.735,5.952,0.85,0.327,,,0.3299,0.200109,1.0998597846942519e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.633746
HD 155886_7,HD 155886,0.59,0.079,3.352,16.163,5.952,0.85,0.327,0.085148,248.118599,0.577192,0.582029,1.2887620658964752e-08,6.298992096120332,0.0017497200267000924,8.204422263884297,0.44865669851244466,0.0010146775584519234,1,1,1,1,1,3,3,2035.633746
HD 155886_8,HD 155886,3.879,0.087,2.635,16.445,5.952,0.85,0.327,,,4.048148,0.248209,6.198701326464024e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.633746
HD 43386_0,HD 43386,2.541,0.037,0.504,0.177,19.588,1.33,2.957,,,2.604118,0.137547,3.476053624337862e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.636567
HD 43386_1,HD 43386,1.141,0.101,1.584,2.873,19.588,1.33,2.957,,,1.028558,0.692261,9.08184966718922e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.636567
HD 43386_3,HD 43386,0.289,0.045,1.072,0.429,19.588,1.33,2.957,,,0.289474,0.018227,2.0491588106039946e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.636567
HD 128621_0,HD 128621,0.181,0.076,0.591,0.281,1.332,0.94,0.503,0.062717,114.094916,0.167269,0.013471,1.1986866389997383e-10,208.63501829752275,0.057954171749311875,1.496248660358308,7.548414577402467,0.04834639675105208,1,1,1,1,1,2,2,2035.639306
HD 128621_1,HD 128621,3.969,0.152,0.756,0.624,1.332,0.94,0.503,,,3.97414,0.451704,1.0613185938676254e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.639306
HD 128621_3,HD 128621,4.377,0.084,0.667,0.424,1.332,0.94,0.503,,,4.716855,0.003403,5.097309995349136e-14,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.639306
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.823381,205.321388,1.122456,0.211245,1.2723148423725467e-10,30.009259534634808,0.008335905426287447,3.0776429176839937,2.7154563218704313,0.016126675047505167,1,1,1,1,1,2,2,2035.639306
HD 17925_0,HD 17925,1.472,0.037,0.676,0.068,10.361,0.82,0.401,,,1.489822,0.177201,2.4349543626927644e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.642046
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.068835,58.661244,0.671429,0.228391,3.209418071687325e-10,6651.816934956185,1.847726926376718,0.05774895996822786,0.39226047337914993,0.0006387027242299589,1,1,1,1,1,2,2,2035.642046
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,,,0.591225,0.364761,8.929914367488757e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.642046
HD 17925_4,HD 17925,0.848,0.062,1.424,1.901,10.361,0.82,0.401,0.079243,62.44983,0.806348,0.405116,8.111664942179359e-10,765.4031383886652,0.21261198288574032,0.1904475648982798,0.3758965720019328,0.0005296100483818447,1,1,1,1,1,2,2,2035.642046
HD 17925_6,HD 17925,3.618,0.076,0.719,0.216,10.361,0.82,0.401,,,3.738495,0.228707,5.323832208649836e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.642046
HD 210302_0,HD 210302,0.937,0.087,1.293,2.482,18.458,1.25,2.918,,,1.018396,0.289055,3.0760785856981446e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.644786
HD 210302_1,HD 210302,0.316,0.034,0.672,0.291,18.458,1.25,2.918,,,0.311967,0.107067,3.2976971375131727e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.644786
HD 210302_2,HD 210302,0.162,0.125,0.82,0.565,18.458,1.25,2.918,,,0.173649,0.365599,4.864462318659935e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.644786
HD 210302_3,HD 210302,0.925,0.123,2.909,15.97,18.458,1.25,2.918,,,0.853593,0.200527,2.0105675132376824e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.644786
HD 210302_4,HD 210302,1.629,0.122,1.727,5.061,18.458,1.25,2.918,,,1.696777,0.056975,4.581556116927104e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.644786
HD 187691 A_0,HD 187691 A,3.127,0.076,1.475,4.454,19.488,1.25,2.835,,,3.229937,0.156287,2.1752935274873355e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.647526
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,,,2.402935,0.392701,5.394338110093016e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.647526
HD 187691 A_2,HD 187691 A,3.249,0.037,0.764,1.364,19.488,1.25,2.835,,,3.352614,0.703894,2.5324587909710217e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.647526
HD 187691 A_3,HD 187691 A,2.018,0.038,2.654,10.557,19.488,1.25,2.835,0.095659,250.321352,1.991681,0.517427,5.965489943319501e-10,260.50594912718,0.07236276364643889,0.38680807111890175,0.4084961009989392,0.0007469402416952202,1,1,1,1,1,1,2,2035.647526
HD 43042_0,HD 43042,4.095,0.078,0.558,0.185,21.776,1.29,2.936,,,3.77571,0.409531,6.975545939817724e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.656286
HD 43042_1,HD 43042,0.434,0.11,0.533,0.05,21.776,1.29,2.936,,,0.457303,0.167916,1.4562410248752134e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.656286
HD 43042_3,HD 43042,0.724,0.14,0.733,0.758,21.776,1.29,2.936,,,0.792582,0.702644,4.5014941583481417e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.656286
HD 134083_0,HD 134083,0.116,0.07,1.9,7.058,19.536,1.33,3.255,,,0.107926,0.465774,9.948729640127664e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.662466
HD 134083_1,HD 134083,0.36,0.097,1.358,2.746,19.536,1.33,3.255,,,0.370986,0.184178,1.4456981311595503e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.662466
HD 134083_3,HD 134083,0.749,0.13,0.881,0.684,19.536,1.33,3.255,,,0.822596,0.307666,2.2337569508172057e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.662466
HD 134083_4,HD 134083,0.959,0.114,0.591,0.338,19.536,1.33,3.255,,,1.041438,0.08829,2.232848151709347e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.662466
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,0.656488,3.254836,1.655526,0.868066,2.0672891312653674e-10,4.251671674819687,0.0011810199096721353,17.306388925939697,8.668587585131624,0.05581421680257977,1,1,1,1,1,1,2,2035.665746
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,,,1.263154,0.115485,6.349047981526808e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,1,2,2035.665746
HD 114710_0,HD 114710,1.415,0.117,0.681,0.147,9.197,1.11,1.357,,,1.251725,0.030109,5.72180320977817e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.676666
HD 114710_1,HD 114710,0.314,0.116,0.63,1.142,9.197,1.11,1.357,,,0.349639,0.002006,3.99154539282042e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.676666
HD 114710_2,HD 114710,2.258,0.018,0.683,0.173,9.197,1.11,1.357,,,2.239504,0.003916,2.47743559607461e-13,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.676666
HD 114710_4,HD 114710,0.861,0.053,0.898,0.439,9.197,1.11,1.357,,,0.845308,0.069296,4.7656149402332236e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,1,2,2035.676666
HD 114710_5,HD 114710,0.124,0.109,3.108,17.681,9.197,1.11,1.357,,,0.136163,0.266182,7.319261629097061e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.676666
HD 10700_0,HD 10700,1.625,0.099,0.563,0.087,3.652,0.94,0.506,,,1.766657,0.181456,1.2767330358745839e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2035.679406
HD 84737_0,HD 84737,0.596,0.087,1.352,1.551,18.823,1.08,2.795,,,0.560043,0.929153,3.3489144264346545e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.683304
HD 84737_1,HD 84737,3.025,0.071,1.189,1.926,18.823,1.08,2.795,,,2.833063,0.276216,2.638294108760452e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.683304
HD 84737_2,HD 84737,1.078,0.014,1.079,0.698,18.823,1.08,2.795,,,1.09123,0.555329,4.086583424469284e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.683304
HD 84737_3,HD 84737,3.774,0.025,0.833,0.848,18.823,1.08,2.795,,,3.721119,0.086682,3.300954807412489e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.683304
HD 84737_4,HD 84737,0.254,0.074,3.133,13.741,18.823,1.08,2.795,,,0.251117,0.522724,5.740412523226756e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.683304
HD 84737_5,HD 84737,2.993,0.205,0.508,0.086,18.823,1.08,2.795,,,3.489792,0.559169,7.327865550193896e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.683304
HD 190248_1,HD 190248,1.11,0.055,1.408,3.629,6.099,0.94,1.25,,,1.075433,0.024826,2.7630096252752387e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,1,2,2035.694269
HD 190248_2,HD 190248,3.754,0.072,1.017,1.24,6.099,0.94,1.25,,,4.024265,0.26099,1.2817732592122039e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.694269
HD 190248_3,HD 190248,1.406,0.139,0.51,0.568,6.099,0.94,1.25,,,1.409574,0.370752,3.2656856569528186e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.694269
HD 1581_1,HD 1581,1.541,0.046,2.633,10.663,8.607,1.11,1.262,,,1.611631,0.046319,6.480067307750751e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,1,2,2035.702351
HD 1581_2,HD 1581,0.181,0.101,0.988,1.538,8.607,1.11,1.262,,,0.198325,0.991902,1.4643793618137886e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.702351
HD 1581_3,HD 1581,1.491,0.126,2.76,10.6,8.607,1.11,1.262,0.155054,305.526209,1.323556,0.379405,1.2746713718160823e-09,27.966864642553247,0.0077685735118203465,2.136019999237545,0.4680474328407544,0.0011439491206406552,1,1,1,1,1,1,2,2035.702351
HD 1581_4,HD 1581,0.208,0.109,2.378,6.033,8.607,1.11,1.262,,,0.200739,0.062588,3.950491331341421e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.702351
HD 156274 A_3,HD 156274 A,4.433,0.138,1.608,3.519,8.791,0.9,0.452,,,4.983436,0.114098,8.467115037919465e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2035.705091
HD 140538 A_0,HD 140538 A,2.088,0.047,0.685,0.069,14.793,0.94,0.834,,,2.179618,0.517754,4.294145965937644e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.728433
HD 140538 A_1,HD 140538 A,0.512,0.053,2.798,18.338,14.793,0.94,0.834,,,0.504872,0.957119,1.722081561602678e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.728433
HD 140538 A_2,HD 140538 A,4.137,0.053,0.916,0.304,14.793,0.94,0.834,,,4.014282,0.726317,2.7572716832369377e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.728433
HD 202560_0,HD 202560,0.846,0.075,1.59,2.013,3.97,0.59,0.083,,,0.908305,0.017452,3.646790098760706e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,2,3,2035.738011
HD 202560_1,HD 202560,0.552,0.052,0.674,0.125,3.97,0.59,0.083,0.137731,300.785967,0.53308,0.303557,3.7755874721790193e-10,4498.080411799886,1.2494667810555238,0.06421164884484847,0.3142190740365019,0.00011842672861230532,1,1,1,1,1,3,3,2035.738011
HD 202560_3,HD 202560,0.867,0.117,1.589,3.604,3.97,0.59,0.083,0.189145,227.114162,0.766017,0.180252,5.247007666554121e-10,2362.566197720021,0.6562683882555614,0.09175534314189886,0.3141413298338231,0.00011790843392777983,1,1,1,1,1,3,3,2035.738011
HD 202560_4,HD 202560,2.302,0.14,0.558,0.251,3.97,0.59,0.083,,,2.017914,0.169297,9.20343641318442e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.738011
HD 202560_5,HD 202560,3.244,0.082,0.847,0.372,3.97,0.59,0.083,,,3.5083,0.099678,3.898758111188485e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.738011
HD 202560_6,HD 202560,0.414,0.085,0.785,0.225,3.97,0.59,0.083,0.098133,12.77063,0.424505,0.467071,1.1094520055359314e-09,783.7196204672013,0.21769989457422256,0.1758528121468113,0.3187403244811001,0.00014856839824296008,1,1,1,1,1,3,3,2035.738011
HD 115617_0,HD 115617,1.956,0.004,0.732,1.017,8.534,0.97,0.825,,,1.951436,0.160676,1.472015564753299e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.745339
HD 115617_1,HD 115617,0.76,0.09,2.931,6.157,8.534,0.97,0.825,0.067998,249.740977,0.758056,0.672736,5.47200529542245e-09,14.387031133823259,0.003996397537173128,3.9173836708824186,0.5883142419211612,0.0019457278478433669,1,1,1,1,1,2,2,2035.745339
HD 115617_2,HD 115617,0.621,0.047,0.562,0.059,8.534,0.97,0.825,0.072141,122.426592,0.593999,0.208451,1.0795622152512467e-10,6781.773646109413,1.8838260128081703,0.07133052904209919,0.6043071387158551,0.002052347159807993,1,1,1,1,1,1,2,2035.745339
HD 115617_3,HD 115617,0.199,0.073,3.38,12.207,8.534,0.97,0.825,,,0.211427,0.800633,1.2728901064598044e-07,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.745339
HD 115617_4,HD 115617,2.599,0.104,0.763,0.174,8.534,0.97,0.825,,,2.867494,0.967963,4.723221485275716e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.745339
HD 115617_5,HD 115617,2.098,0.045,1.487,3.177,8.534,0.97,0.825,0.235945,331.936824,2.035166,0.349093,1.527756877420798e-10,1046.8034440392976,0.29077873445536045,0.16290743159934995,0.40351724765810065,0.0007137478860896302,1,1,1,1,1,2,2,2035.745339
HD 115617_6,HD 115617,3.003,0.084,0.942,0.936,8.534,0.97,0.825,,,3.22067,0.037048,2.1612678083996892e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.745339
HD 72905_1,HD 72905,0.661,0.069,0.5,0.051,14.439,1.08,0.973,,,0.684111,0.272144,1.086262957210644e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.748079
HD 72905_3,HD 72905,0.899,0.099,2.776,19.234,14.439,1.08,0.973,,,0.918129,0.554575,3.1538294526669286e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.748079
HD 72905_4,HD 72905,0.923,0.214,1.407,2.24,14.439,1.08,0.973,,,0.759849,0.201259,4.743289437713745e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.748079
HD 72905_5,HD 72905,3.175,0.086,0.525,0.068,14.439,1.08,0.973,,,3.164214,0.316971,5.285723299008831e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.748079
HD 20766_0,HD 20766,1.336,0.161,1.674,3.092,12.045,1.01,0.794,0.101037,61.118775,1.29602,0.510769,4.667357287088542e-10,605.8457091014847,0.1682904747504124,0.2169773100939493,0.36499218454935134,0.00045691413203130163,1,1,1,1,1,2,2,2035.750818
HD 20766_1,HD 20766,0.327,0.097,2.659,6.922,12.045,1.01,0.794,,,0.354347,0.75631,2.4484444521452318e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.750818
HD 20766_4,HD 20766,1.915,0.031,0.912,0.441,12.045,1.01,0.794,,,1.87126,0.103304,1.6065627988751312e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,1,2,2035.750818
HD 4391_0,HD 4391,0.363,0.182,1.471,1.692,15.049,0.98,0.923,,,0.42632,0.076186,6.037364675090376e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.754504
HD 4391_1,HD 4391,1.544,0.114,0.614,0.159,15.049,0.98,0.923,,,1.387764,0.029115,3.2870396429961308e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.754504
HD 4391_2,HD 4391,0.361,0.058,0.863,0.256,15.049,0.98,0.923,,,0.367876,0.524757,2.4249850527910554e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.754504
HD 4391_3,HD 4391,0.102,0.064,0.942,1.344,15.049,0.98,0.923,,,0.097983,0.031711,2.073151825512373e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.754504
HD 4391_4,HD 4391,0.526,0.038,2.712,11.881,15.049,0.98,0.923,,,0.54458,0.498811,8.83975989675452e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.754504
HD 10476_0,HD 10476,0.171,0.07,0.738,0.088,7.644,0.85,0.454,,,0.1694,0.017673,1.9163369996917538e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2035.757243
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,,,2.461108,0.332069,2.3395513873127713e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.759983
HD 23249_1,HD 23249,2.348,0.031,1.487,3.029,9.089,0.87,2.941,,,2.275558,0.019325,5.956655429517328e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.759983
HD 26965 A_1,HD 26965 A,0.482,0.058,1.38,2.403,5.01,0.86,0.41,0.064215,158.600174,0.506821,0.036651,2.0846151593968276e-10,1383.8091052052223,0.3843914181125617,0.17905923684082486,0.7156045448825402,0.0027943298675858937,1,1,1,1,1,3,3,2035.772494
HD 26965 A_2,HD 26965 A,0.345,0.049,0.5,0.06,5.01,0.86,0.41,0.071209,31.429841,0.358482,0.173964,2.510381292394642e-10,922.4505138682971,0.25623625385230475,0.22340724378844595,0.7092050016538133,0.0027516662460610472,1,1,1,1,1,2,3,2035.772494
HD 20807_0,HD 20807,0.337,0.072,1.793,3.234,12.039,1.07,1.017,,,0.320541,0.767625,1.568186841644219e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.775234
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,,,1.44038,0.015601,5.386837244959194e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,1,2,2035.775234
HD 20807_2,HD 20807,2.979,0.055,2.038,8.298,12.039,1.07,1.017,,,3.12179,0.013567,3.722808529632144e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.775234
HD 20794_0,HD 20794,4.322,0.17,2.962,5.742,6.041,0.97,0.654,,,4.196729,0.05205,1.3072795083393845e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2035.794438
HD 20794_1,HD 20794,2.398,0.095,1.302,2.525,6.041,0.97,0.654,,,2.521009,0.28182,5.344213940511313e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2035.794438
HD 30495_0,HD 30495,1.934,0.08,0.989,1.288,13.24,1.04,0.966,,,1.913281,0.220917,4.1217063882654813e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,1,2,2035.797178
HD 30495_2,HD 30495,0.416,0.06,1.179,0.557,13.24,1.04,0.966,,,0.403607,0.824549,4.160024494014239e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.797178
HD 30495_3,HD 30495,1.848,0.089,0.623,0.48,13.24,1.04,0.966,,,2.00371,0.123027,8.455615240009319e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.797178
HD 146233_0,HD 146233,0.356,0.047,2.679,8.19,14.137,1.02,1.094,,,0.372692,0.174904,6.6545913234623315e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.799918
HD 146233_1,HD 146233,0.206,0.044,2.032,3.376,14.137,1.02,1.094,,,0.196936,0.861533,6.637328319382355e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.799918
HD 146233_4,HD 146233,0.539,0.141,1.433,3.682,14.137,1.02,1.094,,,0.474355,0.011834,8.089201501829842e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.799918
HD 147513_0,HD 147513,1.541,0.04,0.645,0.152,12.892,1.07,1.001,,,1.508185,0.476847,5.884158214171774e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.806919
HD 147513_1,HD 147513,1.513,0.099,0.537,0.038,12.892,1.07,1.001,,,1.460201,0.276899,2.7099981263453724e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.806919
HD 147513_2,HD 147513,4.633,0.075,1.379,7.403,12.892,1.07,1.001,,,4.285526,0.586398,3.677998875454414e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.806919
HD 147513_4,HD 147513,0.196,0.111,0.74,0.096,12.892,1.07,1.001,,,0.190392,0.96195,1.1332790687654722e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.806919
HD 147513_5,HD 147513,4.52,0.075,0.624,0.254,12.892,1.07,1.001,,,4.505186,0.268663,2.79495546269926e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.806919
HD 147513_6,HD 147513,1.743,0.075,1.796,2.912,12.892,1.07,1.001,,,1.803228,0.108994,7.412347732682318e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,1,2,2035.806919
HD 147513_7,HD 147513,2.47,0.028,0.667,0.174,12.892,1.07,1.001,,,2.425769,0.990661,3.599777876064567e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,2,2035.806919
HD 185144_1,HD 185144,0.747,0.07,0.5,0.019,5.764,0.87,0.434,,,0.731114,0.000872,2.3308339365268243e-13,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.809659
HD 185144_3,HD 185144,0.688,0.135,2.317,4.389,5.764,0.87,0.434,0.061797,219.120034,0.739761,0.863305,5.1455279315865496e-09,15.513231066730192,0.0043092308518694975,3.688431978534487,0.6186438903739326,0.0021479255041951767,1,1,1,1,1,3,3,2035.809659
HD 128621_0,HD 128621,0.181,0.076,0.591,0.281,1.332,0.94,0.503,0.084213,342.455588,0.192406,0.837941,5.635025273074453e-09,0.4751238245632999,0.0001319788401564722,108.1538266450222,5.266922278580657,0.03313644809224001,1,1,1,1,1,3,3,2035.829508
HD 128621_1,HD 128621,3.969,0.152,0.756,0.624,1.332,0.94,0.503,,,4.061125,0.496985,1.1182249506369979e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.829508
HD 128621_3,HD 128621,4.377,0.084,0.667,0.424,1.332,0.94,0.503,,,4.730928,0.002891,4.304014093761547e-14,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.829508
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.764972,155.487898,1.076928,0.507339,3.319488270105915e-10,8.167840244602852,0.002268844512389681,8.029534583183716,2.7154563218704313,0.016126675047505167,1,1,1,1,1,3,3,2035.829508
HD 20630_1,HD 20630,0.648,0.142,1.547,4.726,9.276,0.98,0.857,0.069008,329.812045,0.678688,0.455195,1.6042089706398192e-09,74.6366600759099,0.02073240557664164,1.0188252846241932,0.5620269513929903,0.001770479244322228,1,1,1,1,1,2,3,2035.835041
HD 20630_5,HD 20630,1.387,0.083,0.621,0.63,9.276,0.98,0.857,,,1.500554,0.46967,4.8581227418997824e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.835041
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.057605,229.669206,0.756843,0.142931,2.2256787321410567e-10,10971.267425911941,3.047574284975539,0.045388850441134145,0.4096386995330877,0.0007545575652562104,1,0,1,1,1,2,3,2035.848378
HD 3651 A_3,HD 3651 A,0.106,0.12,3.284,8.237,11.108,0.86,0.532,,,0.108291,0.786743,3.3855012047911326e-07,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.848378
HD 3651 A_5,HD 3651 A,0.552,0.025,0.534,0.148,11.108,0.86,0.532,,,0.564055,0.093219,6.788528410875209e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.848378
HD 190360_0,HD 190360,0.922,0.17,1.79,3.759,16.003,0.96,1.165,0.06847,305.834518,1.078089,0.313886,5.66537556964411e-10,1285.915377814836,0.3571987160596766,0.14684614357652126,0.41820886372524424,0.0008116919932039208,1,1,1,1,1,1,3,2035.854653
HD 190360_1,HD 190360,3.764,0.081,1.071,1.582,16.003,0.96,1.165,,,3.808993,0.193768,1.1363602246454858e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.854653
HD 190360_3,HD 190360,3.632,0.139,2.733,10.267,16.003,0.96,1.165,,,4.119335,0.174444,6.628869659157221e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.854653
HD 190360_4,HD 190360,1.735,0.021,0.534,0.045,16.003,0.96,1.165,,,1.729702,0.158457,7.231136742551796e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.854653
HD 190360_5,HD 190360,0.581,0.08,1.934,2.88,16.003,0.96,1.165,,,0.626958,0.651401,5.216205907276135e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,3,2035.854653
