PlanetID,period,ecc,StarName,Rp_REarth,M_sol,FinalPosteriorEpoch,NDetectedEpochs
HD 10361_1,0.6397071555261257,0.043313110079521835,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6751635379358116,0.16211705623798697,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7372831740885022,0.06799383284494431,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6737033300636591,0.18666858742675044,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7680878449799694,0.13923198185182334,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6349813520539774,0.08276333990885074,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6862357367305565,0.2085377783550939,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6591681406961947,0.0919014894792797,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7094466918119088,0.04854538843664997,HD 10361,1.303,0.77,8,2
HD 10361_1,2.440567535905976,0.07865775951933043,HD 10361,1.303,0.77,8,2
HD 10361_1,1.4027344329952618,0.3979164326660576,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7671491676015142,0.05194349661601742,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7197023725556911,0.08887867119030643,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7126172836604528,0.12700372166561633,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7586956356239207,0.08030934257312818,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6381279856473806,0.005183209930465161,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6578717470859958,0.2108575674899971,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6763387147195006,0.29323124363814046,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7406317261926112,0.11219007518461357,HD 10361,1.303,0.77,8,2
HD 10361_1,0.761153400092077,0.08510974558498652,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6420617116300527,0.03201658940708366,HD 10361,1.303,0.77,8,2
HD 10361_1,0.693726272014356,0.10487572952395569,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7554774232275312,0.053640307045281756,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7145248013843989,0.05787540938136691,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6308910903206704,0.30404462903133467,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6434041458617777,0.10059879591786487,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7405960059746443,0.0297809627683963,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7033268015212928,0.047609906130724876,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6356821421742564,0.09518082126849363,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7099122551529093,0.03716256289477412,HD 10361,1.303,0.77,8,2
HD 10361_1,0.713110254646477,0.024941438989167352,HD 10361,1.303,0.77,8,2
HD 10361_1,0.725003878008397,0.3472735787986164,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7300566433407567,0.025861588027569944,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7530437761725028,0.004510077229821954,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6776603610970787,0.19797208057501922,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7625236058369351,0.06412204562354419,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6973904721640757,0.12364385028016117,HD 10361,1.303,0.77,8,2
HD 10361_1,0.707625294970624,0.05641038397380004,HD 10361,1.303,0.77,8,2
HD 10361_1,1.7560232733584484,0.20212955240164826,HD 10361,1.303,0.77,8,2
HD 10361_1,1.2155946289904989,0.3666347415443048,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6887022358458673,0.11591113284225385,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7981760760615624,0.218605969795549,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6514384135846023,0.07494720111056336,HD 10361,1.303,0.77,8,2
HD 10361_1,0.756354847458669,0.09538876135736683,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6946591328387729,0.23419422398761133,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6461620391351393,0.09809494278216024,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7358874707109853,0.06298002839103013,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7497742983748119,0.009220398334442532,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6436563291801012,9.543670458027055e-05,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6632238815609728,0.08942174194266006,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6851855409373514,0.1629593792320292,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7458140828709153,0.016050291132998547,HD 10361,1.303,0.77,8,2
HD 10361_1,0.8130445958080341,0.22667792356606015,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6586442046538349,0.1594332748082475,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7304600458059843,0.04167042742908238,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7147078426593702,0.1003606490145551,HD 10361,1.303,0.77,8,2
HD 10361_1,0.707086092371751,0.041761177889709754,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7459158633671024,0.04353544450396191,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6495929260477944,0.06938999470570245,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7410605457659216,0.35655498613400327,HD 10361,1.303,0.77,8,2
HD 10361_1,0.7692208020099802,0.12669612679554226,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6734492615383372,0.14756668899154718,HD 10361,1.303,0.77,8,2
HD 10361_1,0.6615448738991417,0.21401534825147453,HD 10361,1.303,0.77,8,2
