PlanetID,StarName,M_sol,L_sol,SMA_AU,Mp_MEarth,Rp_REarth,ecc,NDet,P_yr,HZ
HD 101501_7,HD 101501,0.94,0.608976,0.888,0.333,0.887,0.054,3,0.863,True
HD 10361_1,HD 10361,0.77,0.303879,0.761,2.715,1.303,0.025,5,0.757,True
HD 10780_0,HD 10780,0.9,0.515941,0.841,1.181,1.077,0.11,4,0.813,True
HD 128620_0,HD 128620,1.11,1.520898,1.567,0.738,0.945,0.074,1,1.862,True
HD 128620_1,HD 128620,1.11,1.520898,1.266,6.221,1.198,0.016,4,1.352,True
HD 128621_4,HD 128621,0.94,0.503037,1.135,1.502,1.179,0.055,5,1.247,True
HD 17206_0,HD 17206,1.21,2.616978,1.742,1.25,0.885,0.09,1,2.09,True
HD 20807_1,HD 20807,1.07,1.016951,1.546,0.846,0.954,0.069,4,1.858,True
HD 209100_5,HD 209100,0.72,0.22182,0.635,0.965,0.931,0.076,8,0.596,True
HD 34411_1,HD 34411,1.08,1.731809,1.539,0.713,0.897,0.078,2,1.837,True
HD 39091_5,HD 39091,1.08,1.533204,1.437,1.974,1.31,0.051,1,1.658,True
HD 46588 A_0,HD 46588 A,1.18,1.825997,1.961,5.123,1.375,0.092,5,2.528,True
HD 693_4,HD 693,1.18,2.997091,1.744,2.348,1.392,0.105,3,2.12,True
