PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs,HZ
HD 72905_0,HD 72905,1.026,0,3.4,18.015,14.439,1.08,0.973,0.07,64.356,1.026,0.39,1,1,1,2035.0,True
HD 72905_0,HD 72905,1.026,0,3.4,18.015,14.439,1.08,0.973,0.071,319.203,1.026,0.316,1,2,2,2035.292,True
HD 72905_0,HD 72905,1.026,0,3.4,18.015,14.439,1.08,0.973,0.07,213.987,1.026,0.254,1,3,3,2035.584,True
HD 72905_0,HD 72905,1.026,0,3.4,18.015,14.439,1.08,0.973,0.071,109.36,1.026,0.356,1,4,4,2035.875,True
HD 72905_0,HD 72905,1.026,0,3.4,18.015,14.439,1.08,0.973,0.071,3.778,1.026,0.368,1,5,5,2036.167,True
HD 72905_0,HD 72905,1.026,0,3.4,18.015,14.439,1.08,0.973,0.071,259.26,1.026,0.259,1,6,6,2036.459,True
HD 72905_0,HD 72905,1.026,0,3.4,18.015,14.439,1.08,0.973,0.071,153.855,1.026,0.303,1,7,7,2036.751,True
HD 72905_0,HD 72905,1.026,0,3.4,18.015,14.439,1.08,0.973,0.07,48.92,1.026,0.392,1,8,8,2037.042,True
