PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,PlanetContrast,tReq_s,tReq_hr,Cp_e_s,Cb_e_s,Csp_e_s,DetStatus_Ideal,DetStatus_ETC,DetStatus,NDet,NObs,LastObs
HD 37394_15,HD 37394,0.222,0.142,1.093,2.551,12.27,0.88,0.478,0.018,139.425,0.235,0.525,1.979354365253592e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.008
HD 37394_16,HD 37394,2.623,0.055,2.621,4.867,12.27,0.88,0.478,0.195,288.517,2.585,0.529,1.1670501387010807e-10,17494.207210067678,4.859502002796577,0.03212701609393429,0.32422891565403933,0.0008332155272814962,1,1,1,1,1,2035.008
HD 156026_0,HD 156026,3.18,0.093,3.171,12.638,5.954,0.68,0.158,0.548,178.524,3.272,0.35,4.9165205619762316e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.01
HD 156026_1,HD 156026,0.564,0.081,0.509,0.109,5.954,0.68,0.158,0.074,192.757,0.567,0.703,3.23080707147455e-10,22132.717686866017,6.14797713524056,0.05694350790110685,0.5088748846194736,0.006372594596244523,1,1,1,1,1,2035.01
HD 156026_2,HD 156026,0.423,0.044,0.607,0.429,5.954,0.68,0.158,0.049,270.63,0.413,0.756,7.575102294813191e-10,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.01
HD 156026_3,HD 156026,1.001,0.06,2.318,7.407,5.954,0.68,0.158,0.115,261.049,0.994,0.769,1.2070342073394627e-09,369.2784093914015,0.10257733594205598,0.2859428483740901,0.32987824712117303,0.0010026954712955072,1,1,1,1,1,2035.01
HD 156026_5,HD 156026,1.693,0.124,2.972,5.791,5.954,0.68,0.158,0.301,123.054,1.824,0.419,2.611770594986501e-10,4348.868139597476,1.2080189276659656,0.0663564753864415,0.3219020356969237,0.0007634091285680281,1,1,1,1,1,2035.01
HD 140538 A_0,HD 140538 A,2.088,0.047,0.685,0.191,14.793,0.94,0.834,0.036,204.677,2.139,0.971,4.9940091111231415e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.011
HD 140538 A_1,HD 140538 A,0.512,0.053,2.798,6.483,14.793,0.94,0.834,0.019,275.967,0.522,0.856,7.458431884088281e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.011
HD 140538 A_2,HD 140538 A,4.137,0.053,0.916,1.1,14.793,0.94,0.834,0.271,274.372,4.123,0.444,1.1951604225085716e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.011
HD 17925_0,HD 17925,1.472,0.037,0.676,0.328,10.361,0.82,0.401,0.141,46.356,1.513,0.197,2.021568121772449e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.012
HD 17925_2,HD 17925,0.735,0.099,0.938,0.85,10.361,0.82,0.401,0.039,311.626,0.663,0.029,4.2635380217784897e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.012
HD 17925_3,HD 17925,0.561,0.086,1.065,2.059,10.361,0.82,0.401,0.037,88.71,0.513,0.061,1.5860891312548893e-10,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.012
HD 17925_4,HD 17925,0.848,0.062,1.424,2.954,10.361,0.82,0.401,0.025,57.058,0.826,0.003,2.719006793939663e-12,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.012
HD 17925_6,HD 17925,3.618,0.076,0.719,0.183,10.361,0.82,0.401,0.343,104.011,3.602,0.402,1.0321685724759813e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.012
HD 100623 A_0,HD 100623 A,4.014,0.105,2.503,6.2,9.559,0.88,0.37,0.394,240.967,4.329,0.603,7.967045119111126e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.014
HD 100623 A_2,HD 100623 A,0.102,0.086,0.559,0.038,9.559,0.88,0.37,0.01,139.573,0.106,0.539,4.899131098105092e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.014
HD 100623 A_3,HD 100623 A,4.384,0.075,1.441,2.489,9.559,0.88,0.37,0.241,159.766,4.668,0.884,4.557669278188379e-12,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.014
HD 100623 A_4,HD 100623 A,2.524,0.072,0.66,0.245,9.559,0.88,0.37,0.235,78.605,2.438,0.147,4.7068827639394354e-12,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.014
HD 100623 A_5,HD 100623 A,4.18,0.038,0.734,0.481,9.559,0.88,0.37,0.432,349.715,4.176,0.397,6.299342922458228e-12,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.014
HD 100623 A_6,HD 100623 A,0.362,0.165,0.555,0.193,9.559,0.88,0.37,0.034,205.33,0.333,0.435,5.377422427190502e-10,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.014
HD 100623 A_7,HD 100623 A,4.073,0.068,1.365,3.3,9.559,0.88,0.37,0.195,211.176,3.822,0.014,3.9030947188245076e-13,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.014
HD 10361_1,HD 10361,0.761,0.025,1.303,2.174,8.197,0.77,0.304,0.073,135.652,0.772,0.7,9.968332080880533e-10,695.6933173765107,0.1932481437156974,0.25621814229733153,0.6130706999319175,0.009498469055617843,1,1,1,1,1,2035.015
HD 10361_2,HD 10361,0.985,0.066,0.785,0.367,8.197,0.77,0.304,0.09,78.824,1.01,0.054,1.7894694294804622e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.015
HD 10361_3,HD 10361,1.525,0.07,0.586,0.186,8.197,0.77,0.304,0.16,48.285,1.601,0.661,5.223818492161814e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.015
